playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
9460,Dan Straily,999.0,,,0.1226,0.4236,0.0,0.0,,1.0,4.449,1.095,0.6359,0.60056,0.192444,0.7366,0.3783,0.0415
sa828727,Carlos Luna,999.0,,,0.1604,0.2464,0.0,0.0,,1.0,4.394,1.0918,0.6264,0.59217,0.200556,0.6965,0.3108,0.0484
sa3011592,Zach King,999.0,MIA,Marlins,0.1561,0.2661,0.0,0.0,,1.0,4.584,1.0964,0.6401,0.59793,0.145556,0.6803,0.5237,0.0638
sa3018107,Rodney Boone,999.0,CLE,Guardians,0.1733,0.1853,0.0,0.0,,1.0,4.476,1.0654,0.6229,0.5847,0.175889,0.718,0.4428,0.0401
sa3020875,Steven Zobac,999.0,KCR,Royals,0.1684,0.2084,0.0,0.0,,1.0,4.52,1.1341,0.6569,0.61673,0.162,0.6256,0.4405,0.043
sa3020751,Brandon Schaeffer,999.0,SEA,Mariners,0.1723,0.1903,0.0,0.0,,1.0,4.522,1.1097,0.6214,0.57959,0.158889,0.6218,0.4306,0.0641
sa3002734,Blake Battenfield,999.0,,,0.1704,0.1994,0.0,0.0,,1.0,4.404,1.1416,0.6283,0.58952,0.194889,0.6224,0.2985,0.0406
sa3019255,Jose Fleury,999.0,HOU,Astros,0.1498,0.2958,0.0,0.0,,1.0,4.564,1.0566,0.6453,0.60319,0.153667,0.7683,0.574,0.0418
sa3017609,Austin Love,999.0,STL,Cardinals,0.1754,0.1754,0.0,0.0,,1.0,4.521,1.0966,0.6381,0.59629,0.156667,0.6576,0.4818,0.048
sa3017857,Seth Lonsway,999.0,SFG,Giants,0.1553,0.2703,0.0,0.0,,1.0,4.682,1.1283,0.6404,0.5917,0.112444,0.5957,0.6179,0.0644
sa3015136,David Griffin,999.0,NYM,Mets,0.1602,0.2472,0.0,0.0,,1.0,4.473,1.1048,0.6332,0.59474,0.183222,0.6766,0.3794,0.0504
sa3003039,Angel Macuare,999.0,,,0.1616,0.2406,0.0,0.0,,1.0,4.458,1.0874,0.6423,0.60449,0.184222,0.7176,0.4035,0.0501
sa3018181,Orlando Ortiz-Mayr,999.0,LAD,Dodgers,0.1305,0.3865,0.0,0.0,,1.0,4.498,1.1248,0.6398,0.59892,0.175333,0.6655,0.3964,0.0617
sa3005207,Alex Valverde,999.0,,,0.1593,0.2513,0.0,0.0,,1.0,4.489,1.0819,0.6392,0.60133,0.177667,0.7149,0.4211,0.0616
sa3011575,Rolddy Munoz,999.0,ATL,Braves,0.1279,0.3989,0.0,0.0,,1.0,4.612,1.1074,0.6551,0.61099,0.146111,0.6991,0.5538,0.0553
15627,Dillon Overton,999.0,,,0.1723,0.1903,0.0,0.0,,1.0,4.492,1.1919,0.6852,0.64729,0.194556,0.6958,0.3503,0.0469
sa3018093,Zach Messinger,999.0,NYY,Yankees,0.1739,0.1829,0.0,0.0,,1.0,4.526,1.0374,0.6309,0.59264,0.177111,0.8167,0.4982,0.0555
sa3004740,Ryan Lillie,999.0,,,0.1219,0.4269,0.0,0.0,,1.0,4.509,1.086,0.6459,0.60844,0.176889,0.7348,0.4545,0.0456
sa3020479,Dalton Rogers,999.0,BOS,Red Sox,0.1754,0.1754,0.0,0.0,,1.0,4.623,1.0514,0.6573,0.61641,0.15,0.826,0.6344,0.0432
sa3020464,Hayden Wynja,999.0,SFG,Giants,0.1511,0.2901,0.0,0.0,,1.0,4.566,1.0973,0.6438,0.6043,0.160778,0.6905,0.495,0.0456
sa3006815,Alejandro Melean,999.0,TOR,Blue Jays,0.1074,0.4954,0.0,0.0,,1.0,4.476,1.0537,0.625,0.58802,0.182889,0.7504,0.4374,0.0475
sa3018148,Hunter Stanley,999.0,CLE,Guardians,0.1726,0.1886,0.0,0.0,,1.0,4.455,1.1023,0.6436,0.60594,0.189556,0.6987,0.3844,0.0374
sa3017385,Ryan Cusick,999.0,OAK,Athletics,0.1754,0.1754,0.0,0.0,,1.0,4.537,1.0439,0.6366,0.59717,0.158,0.7408,0.5464,0.0416
sa3020834,Connor Noland,999.0,CHC,Cubs,0.1739,0.1829,0.0,0.0,,1.0,4.496,1.1768,0.6575,0.6146,0.166889,0.5519,0.3839,0.0401
18361,Thomas Eshelman,999.0,,,0.1332,0.3742,0.0,0.0,,1.0,4.409,1.21,0.6499,0.61058,0.190222,0.496,0.2367,0.0493
sa1170867,Luis Quinones,999.0,TOR,Blue Jays,0.1372,0.3552,0.0,0.0,,1.0,4.479,0.9872,0.6186,0.58481,0.190556,0.8792,0.489,0.0515
