"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","BB","SO","SBN","AVG","OBP","SLG","OPS","GP"
"*041rd*","SP","Corbin Burnes","MIL","SP","Res","29","@NYM Thu 2:00AM","32","100","25.31","32","203","0","22","160","0.79","65","2.88","10.11","3.51","0","0","3.24","1.108","32"
"*0596g*","SP","Reid Detmers","LAA","SP","Res","24","@BAL Thu 1:05PM","31","100","204.85","30","167","0","16","152","0.91","64","3.45","10.02","2.91","0","0","4.20","1.293","30"
"*02z93*","SP","Kenta Maeda","DET","SP","Res","35","@CHW Thu 2:00AM","17","100","239.66","28","140","0","15","127","0.91","40","2.57","10.29","4.00","0","0","4.18","1.193","28"
"*02i3o*","SP","Aaron Nola","PHI","SP","Res","30","ATL Thu 1:05PM","38","100","44.75","32","198","0","18","176","0.89","42","1.91","10.05","5.26","0","0","3.86","1.101","32"
"*04pko*","P","Grayson Rodriguez","BAL","SP","Res","24","LAA Thu 1:05PM","6","100","72.91","26","140","0","15","120","0.86","52","3.34","9.77","2.92","0","0","3.73","1.229","26"
"*03vcw*","P","Jordan Hicks","(N/A)","RP","Res","27","","12","55","427.02","0","68","0","0","53","0.78","33","4.37","11.25","2.58","15","15","3.57","1.265","67"
"*04cd5*","SP","MacKenzie Gore","WSH","SP","IR","24","@CIN Thu 2:10PM","17","100","247.86","28","143","0","14","129","0.90","61","3.84","9.82","2.56","0","0","4.28","1.329","28"
"*026l1*","SP","Lance McCullers Jr.","HOU","SP","IR","30","NYY Thu 2:00AM","2","50","432.99","12","63","0","7","51","0.81","31","4.43","9.86","2.23","0","0","3.86","1.302","12"
"*025j1*","SP","Robbie Ray","SEA","SP","IR","32","BOS Thu 8:10PM","28","61","599.47","7","40","0","4","34","0.85","14","3.15","10.80","3.43","0","0","4.05","1.200","7"
"*03ab0*","P","Luis Severino","NYM","SP","IR","29","MIL Thu 2:00AM","20","91","352.99","26","130","0","12","133","1.02","45","3.12","8.86","2.84","0","0","4.64","1.369","26"
"*05ucd*","SP","Mason Miller","OAK","SP","Min","25","CLE Thu 2:00AM","1","100","186.12","22","115","0","13","89","0.77","52","4.07","10.41","2.56","0","0","3.83","1.226","22"
"*060eu*","P","Ben Joyce","LAA","RP","Min","23","@BAL Thu 1:05PM","1","18","559.56","0","49","0","0","43","0.88","28","5.14","10.65","2.07","4","16","4.41","1.449","48"
