playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
19444,Yohan Ramirez,999.0,NYM,Mets,0.0,26.8271,0.175727,1.82056,,30.0185,133.965,27.6714,15.8753,14.6053,3.48546,30.0071,15.3344,3.90579
17732,Nabil Crismatt,747.489990234375,LAD,Dodgers,0.000355339,14.1769,0.0,1.01098,,17.1887,74.4447,18.2364,9.62377,8.85387,2.74017,14.6364,5.53715,0.823838
10133,Brad Boxberger,999.0,,,0.0,45.4807,0.807226,6.04198,,44.339,189.478,38.9283,23.5005,21.6205,6.23769,43.7499,19.6443,2.32187
10291,Ryan Tepera,999.0,,,0.0,24.1882,0.570635,3.09801,,24.4854,105.6,22.9872,13.0257,11.9836,3.56446,23.1791,9.32212,2.28253
16933,Elieser Hernández,999.0,,,0.699212,18.5132,0.0,1.45671,,22.4731,95.1043,21.8295,12.7628,11.7418,4.69388,23.1479,6.84901,1.2537
24933,Andrew Wantz,999.0,LAA,Angels,0.486275,41.6149,0.0,5.148,,46.956,202.715,44.4744,25.5223,23.4805,7.97847,45.61,20.0079,2.05991
20080,Mauricio Llovera,999.0,SEA,Mariners,0.00222409,23.9125,0.0,1.28661,,27.3833,117.671,26.3824,14.4606,13.3037,4.05344,26.3256,9.9679,1.90917
10314,Erasmo Ramírez,999.0,TBR,Rays,0.23116,19.1203,0.0,0.941378,,26.9129,116.282,30.0677,15.1325,13.9219,4.30446,21.0885,6.77145,1.39585
19995,Joel Kuhnel,999.0,HOU,Astros,0.0,11.699,0.000409128,0.674778,,13.5293,59.2022,15.2553,8.30713,7.64256,1.94907,9.52711,3.87882,0.833129
25650,Levi Stoudt,999.0,CIN,Reds,0.978767,11.4087,0.0,0.929826,,15.9578,72.7131,17.826,11.0973,10.2095,3.00436,12.3752,7.93096,0.678443
13345,Luis Cessa,999.0,KCR,Royals,1.15788,7.03532,0.0,0.227815,,11.6287,54.0068,14.8222,7.81062,7.18577,1.92718,7.46892,5.00501,0.456452
13276,Matt Carasiti,999.0,COL,Rockies,0.533446,20.641,0.0993869,4.05743,,23.3146,109.032,28.6443,16.2081,14.9114,3.28565,17.2627,11.5706,1.20476
sa3007834,Taylor Lehman,999.0,PHI,Phillies,0.0,14.096,0.0,1.10432,,14.4813,64.639,14.5147,8.70625,8.00975,2.10899,12.3008,7.41476,0.713784
14375,Amir Garrett,999.0,,,0.0,35.5587,0.399221,1.88036,,34.6677,152.759,29.4638,18.5176,17.0362,4.44917,38.9498,21.2888,1.46982
25777,Peyton Battenfield,999.0,NYM,Mets,2.21761,6.53623,0.0,0.454678,,17.1612,73.6464,17.1618,10.7885,9.92541,3.37521,13.2373,6.25183,0.465389
19884,Corbin Martin,999.0,ARI,Diamondbacks,0.253799,21.2079,0.0,1.24268,,23.4413,103.247,23.6373,13.4398,12.3647,3.26346,21.646,10.7507,0.879491
24737,Gus Varland,999.0,LAD,Dodgers,0.0,22.7866,0.0,0.928946,,26.1086,115.102,26.7957,15.7031,14.4468,3.86538,25.0871,11.1464,1.44467
27488,Karl Kauffmann,999.0,COL,Rockies,0.831515,6.04512,0.0,1.03887,,12.3723,57.9541,15.4373,12.1142,11.1451,1.97441,7.04333,5.75606,0.881102
21574,Brendon Little,999.0,TOR,Blue Jays,0.313422,10.44,0.0,0.359436,,12.1871,54.8691,12.2167,6.58779,6.06077,1.63544,10.4993,5.49101,1.81892
sa3008067,Cam Sanders,999.0,CHC,Cubs,0.0,8.14499,0.0,0.567349,,9.02407,41.7233,8.25415,5.30921,4.88447,1.19367,10.0016,6.6669,0.632476
10843,Adam Kolarek,999.0,LAA,Angels,0.0,18.1326,0.0,0.767011,,19.1689,87.346,20.0941,10.8977,10.0259,1.95938,14.7811,9.91905,1.74317
16754,Vinny Nittoli,999.0,OAK,Athletics,0.0,26.5536,0.0,1.4644,,29.1895,127.421,28.617,15.3418,14.1145,4.34235,26.9029,10.6042,3.55014
19179,Kirby Snead,999.0,SEA,Mariners,0.0,17.6177,0.000714293,2.9746,,17.0161,77.2868,18.8973,9.67596,8.90189,1.95741,14.3678,8.30642,0.736482
20349,Zack Kelly,999.0,BOS,Red Sox,0.0,32.1584,0.0,2.0587,,33.6875,149.989,32.8484,18.9117,17.3988,4.0352,31.7398,16.7521,2.69487
22296,Joe Barlow,749.489990234375,,,0.0,12.0234,0.159247,0.993293,,11.2288,48.5322,11.0609,5.99413,5.5146,1.93508,9.83208,4.48941,0.418404
20231,Zach Logue,999.0,ATL,Braves,0.812567,6.2181,0.0,0.481973,,12.852,58.0144,15.3778,9.31501,8.56981,2.5247,10.0001,4.89361,0.472354
24937,Austin Warren,999.0,,,0.0,18.0176,0.0,1.18348,,18.5216,81.2292,18.4821,10.8191,9.95353,2.89093,16.7617,8.31725,0.717357
21761,José Marte,999.0,LAA,Angels,0.0,12.8355,0.0,1.75008,,12.5302,57.2493,11.9249,8.53996,7.85676,1.75448,13.2162,8.51574,0.470948
