playerid,PlayerName,minpos,ADP,Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS
20521,Nick Madrigal,2B/3B,652.3499755859375,CHC,Cubs,87.7312,293.02,322.263,82.6801,63.2503,15.8669,1.67167,1.89118,35.1953,29.3211,18.077,0.0,31.6287,6.75303,1.53433,2.87879,8.2496,2.47313
29976,Jordan Lawlar,SS,309.1000061035156,ARI,Diamondbacks,98.343,317.898,357.482,75.2178,50.6519,14.3715,1.75016,8.44419,42.1105,35.1199,30.8963,0.0,88.7711,5.43371,1.89148,1.36258,15.0588,3.87244
5235,Justin Turner,3B,262.1600036621094,,,123.204,463.39,521.138,123.59,81.7423,25.1558,0.633589,16.058,64.8186,69.9172,44.59,0.110017,92.6336,7.70304,4.90129,0.553444,3.032,0.854217
25616,Marco Luciano,SS,999.0,SFG,Giants,124.263,401.862,453.542,89.3688,58.5147,17.6513,1.12527,12.0776,46.8367,44.6999,44.1161,0.0,145.729,3.40984,2.43738,1.71694,6.88977,1.86643
17338,Willi Castro,OF,297.0299987792969,MIN,Twins,106.323,359.55,398.662,89.3337,59.1424,18.0211,3.04252,9.12765,50.1204,38.886,26.6656,0.303541,92.4682,7.85361,2.7553,1.83784,22.0638,5.55541
23772,Wilyer Abreu,OF,386.1000061035156,BOS,Red Sox,119.18,379.772,438.227,92.9857,58.5157,19.9712,0.950119,13.5487,52.717,52.7435,52.2906,0.496201,113.863,2.78965,2.13809,1.23755,10.9394,2.86267
23359,Nelson Velázquez,OF,287.7099914550781,KCR,Royals,111.779,375.233,415.82,88.7264,45.6172,17.4848,1.13378,24.4905,51.3512,55.4793,33.6341,0.423924,125.029,3.98773,2.24076,0.724491,6.50752,2.75158
11489,Michael A. Taylor,OF,540.52001953125,,,110.724,354.348,389.985,82.6723,53.7007,13.4508,1.60542,13.9153,45.1208,44.9577,27.6198,0.0,115.487,3.20191,2.60222,2.21363,9.10202,2.59299
24064,Ezequiel Tovar,SS,196.19000244140625,COL,Rockies,146.258,571.684,612.786,149.444,97.0324,33.103,3.29332,16.0154,80.1089,69.7616,30.4536,0.0,150.441,5.17643,3.41278,2.05863,13.7263,4.68615
14968,Victor Caratini,C,558.5800170898438,HOU,Astros,70.0516,225.919,254.402,54.8354,37.9478,9.04336,0.762641,7.08155,26.3903,28.5279,21.1001,0.890983,53.2363,4.38566,2.19931,0.798168,1.27012,0.924503
25807,Jared Triolo,3B,556.0999755859375,PIT,Pirates,73.9508,256.816,292.51,65.2863,45.5942,13.8457,1.66216,4.18434,33.1842,26.8745,30.7241,0.0,75.6177,2.25499,1.75831,0.95729,8.15652,2.00487
6184,J.D. Martinez,DH/OF,234.0,,,117.391,446.254,495.508,114.795,64.588,25.2027,1.74384,23.2605,62.7232,76.1213,40.5012,1.02316,138.854,3.50354,4.97735,0.27199,0.840078,0.0
sa3011309,Darell Hernaiz,SS,999.0,OAK,Athletics,93.7398,330.089,361.97,82.0395,58.3759,16.8765,1.50877,5.27822,34.0995,32.2953,23.2301,0.0,62.3546,2.94436,2.94929,2.757,9.34644,2.35018
23690,Brayan Rocchio,3B/SS,492.0299987792969,CLE,Guardians,96.238,346.829,385.859,85.1257,57.9047,19.6318,1.7687,5.8205,44.0264,38.321,29.9441,0.0,74.9165,3.78811,3.63454,1.66301,10.0193,3.39383
26123,Brett Baty,3B,355.4200134277344,NYM,Mets,112.148,389.06,434.598,93.4047,62.3408,16.8742,0.771906,13.4178,48.5947,49.6917,37.7635,0.0,115.75,3.9778,2.30225,1.49414,2.54184,0.993294
21693,Miguel Amaya,C,461.260009765625,CHC,Cubs,73.5005,217.617,252.012,49.1347,30.6019,9.85496,0.855757,7.82213,26.1788,27.6277,23.3034,0.512386,67.9956,7.3144,1.96249,1.81429,0.876667,0.830824
19260,Jake Fraley,OF,319.0,CIN,Reds,103.552,345.531,396.437,86.4701,53.7084,16.5148,0.784618,15.4623,49.6937,55.0505,42.7252,1.50973,86.2186,4.90281,2.45732,0.821144,16.1523,4.76079
18171,Seth Brown,1B/OF,462.6099853515625,OAK,Athletics,120.171,413.225,457.164,95.5171,53.2182,21.3981,1.93932,18.9615,49.5106,61.8791,38.1958,1.1418,122.827,2.79269,2.35073,0.600253,5.59464,1.59002
19896,Connor Wong,C,324.8999938964844,BOS,Red Sox,102.611,329.545,360.654,78.7702,49.1488,18.7042,1.2934,9.6237,40.2444,36.8604,21.0202,0.0,109.957,4.44257,2.59433,3.05255,6.44061,2.07831
10681,Gio Urshela,3B,561.1300048828125,LAA,Angels,79.4876,282.551,306.391,78.8173,56.0621,14.5003,1.51222,6.74258,33.2198,35.1497,18.3393,0.125328,55.4411,2.19891,2.82471,0.4764,2.08105,0.843352
