ID,Salary
*041rd*,12
*02i3o*,3
*01spo*,1
*03btv*,19
*041rf*,6
*02vl6*,8
*02bu3*,10
*04yfw*,20
*01sb3*,6
*04auj*,12
*03df2*,12
*02i2j*,8
*041qo*,8
*03dbm*,20
*02hi7*,20
*02bqy*,17
*04mlt*,19
*03pon*,18
*01c5l*,4
*004ee*,1
*000dp*,1
*02c2r*,20
*04n0m*,30
*03nuc*,4
*025j1*,10
*02hj7*,30
*03pov*,30
*045kb*,14
*03dbo*,22
*02h9r*,30
*02c2h*,19
*04ni3*,20
*02i37*,12
*03yxh*,17
*043f9*,20
*05mre*,19
*04aed*,30
*005jn*,2
*02mwk*,3
*02x0f*,5
*03amq*,21
*01srb*,30
*041ru*,30
*03bin*,16
*000wm*,20
*041ps*,30
*01fhm*,30
*041v6*,21
*0316j*,26
*04ug5*,20
*0312g*,6
*01seh*,24
*04eee*,25
*03ab0*,18
*02btx*,6
*02yc4*,5
*01s94*,6
*02bqr*,4
*04ps7*,30
*03111*,30
*026mq*,30
*01ub8*,10
*02hjp*,1
*04yie*,30
*01ut7*,5
*04aea*,30
*041r1*,16
*04mlr*,30
*01z34*,30
*03qpi*,18
*0440h*,19
*02my5*,3
*03ca3*,30
*03dbe*,30
*02bxv*,25
*01uca*,8
*025dq*,30
*02c4q*,30
*025kd*,30
*03et8*,10
*03d7h*,18
*03qm8*,30
*02hg4*,15
*01gjf*,30
*031ey*,30
*03deg*,30
*041qr*,26
*0311c*,8
*04pn3*,30
*01as6*,22
*0260v*,9
*03dc4*,15
*02yg3*,3
*0055e*,30
*03di6*,3
*03d6v*,20
*03aqv*,6
*02mv0*,16
*01xfr*,25
*04eqa*,18
*005ih*,1
*041r5*,13
*029si*,8
*04ak5*,20
*03adt*,30
*02z93*,30
*02buh*,7
*03d6w*,13
*041wu*,24
*01fha*,30
*04ml0*,14
*01svz*,6
*025it*,30
*0312l*,30
*01cdg*,30
*05144*,30
*02bwg*,26
*026l1*,18
*02bsw*,7
*04b3a*,30
*02n96*,6
*02zif*,2
