ID,Salary
*01ub6*,1
*02c68*,1
*01cgo*,1
*03pir*,9
*03ojr*,8
*02z0s*,4
*01svq*,1
*03ynj*,8
*01ual*,2
*02btf*,1
*041pz*,12
*02mwm*,3
*04fhb*,30
*02mw6*,4
*041qb*,10
*02yc4*,5
*04355*,12
*02611*,2
*02bu9*,11
*030uc*,4
*024m0*,1
*03pom*,13
*03ae8*,15
*02w7p*,2
*03cag*,5
*04lgp*,30
*03zbh*,12
*042sz*,10
*03wha*,4
*03qr0*,20
*025i9*,7
*01sy3*,3
*05184*,30
*041sq*,9
*03qmh*,5
*02mw3*,30
*01s8u*,1
*025he*,1
*025gb*,3
*02i2e*,4
*02w16*,27
*026lz*,4
*03fi0*,6
*04pr1*,30
*041xv*,11
*0512v*,30
*04eey*,30
*05rc3*,30
*03de9*,3
*050w9*,30
*02i2q*,4
*03e5m*,12
*04y4e*,30
*04csx*,20
*047l7*,20
*02bq4*,3
*03pjl*,8
*02yh5*,30
*03zlh*,30
*04aq4*,20
*04q2n*,30
*040b5*,20
*03atq*,11
*025dn*,2
*02jh6*,12
*03d6s*,6
*032gq*,20
*03whq*,7
*02bq2*,10
*04de1*,30
*031t0*,11
*03pix*,16
*03mew*,17
*02xic*,20
*04t3y*,30
*04efa*,13
*03qjy*,2
*03110*,9
*01sea*,6
*03m6o*,20
*03pzn*,30
*03nmw*,13
*01spl*,30
*0518n*,30
*04qk8*,30
*03aoy*,30
*041qh*,30
*01ubo*,1
*03lua*,9
*01sfi*,11
*04mn5*,25
*03pji*,9
*03pje*,30
*04pkr*,30
*04ppj*,30
*01u75*,14
*01s9k*,3
*02334*,2
*045qo*,15
*04oct*,24
*04nx3*,20
*0317o*,22
*030ud*,10
*04si2*,19
*03d7g*,8
*026mn*,9
*02mzg*,2
*04b02*,30
*04nb2*,30
*01uc9*,4
*0326s*,11
*01lum*,6
*02yk4*,20
*041qs*,27
*03rmz*,30
*01s9f*,30
*03022*,9
*03aay*,30
*03qyv*,30
*041ai*,14
*0310n*,10
*02mwg*,20
*01cfr*,30
*02hjk*,3
*03yrz*,30
*03nrk*,30
*027fx*,30
*0310z*,30
*041mc*,11
*03oh0*,12
*03qvr*,26
*027ow*,30
*03120*,1
*031dw*,21
*03eet*,7
*01suo*,19
*03pdw*,10
*026rz*,27
*025eo*,12
*04yk2*,30
*04pt2*,30
*02mwj*,18
*03qqb*,22
*01c1g*,30
*02yd1*,4
*01sge*,9
*03qjv*,30
*03pit*,19
*0316t*,30
*031el*,30
*01s9c*,19
*02hlw*,30
*05ajg*,30
*03o43*,21
*01sjg*,5
*01tt9*,3
*03dp8*,30
*0414g*,30
*04y44*,30
*04s1g*,30
*04mra*,30
*04p10*,30
*02h98*,7
*03pjd*,30
*025jv*,7
*01cil*,9
*02z0t*,30
*02i3d*,30
*031b8*,30
*03nri*,8
*01cdf*,3
*03et7*,30
*03dei*,30
*04yib*,30
*031c4*,15
*026m0*,13
*05g2r*,30
*00031*,6
*02i2k*,16
*04c8q*,30
*04my4*,30
*041m2*,20
*02k18*,8
*04g7n*,30
*02u47*,20
*01cgt*,30
*01sdl*,12
*01bv1*,30
*01vja*,30
*01usi*,4
*02i3v*,30
*04y97*,30
*03199*,13
*01urw*,14
*029us*,30
*025g7*,20
*03c7z*,30
*03128*,18
*02mzu*,30
*0512e*,30
*041q8*,30
*01s98*,27
*02mx2*,30
*04ru7*,30
*01seb*,30
*03108*,30
*026qc*,30
*02jhn*,30
*0406v*,30
*045gu*,30
*04eej*,30
*03zc9*,30
*02i3g*,9
*01cfp*,30
*02i3m*,30
*031b2*,30
*04eeb*,30
*02mzc*,18
*041sg*,24
*01s99*,30
*04p9n*,20
*01sb1*,30
*0001d*,30
*01s8p*,30
*02i3z*,7
*041qd*,30
*03b6k*,30
*02i12*,30
*04pse*,30
*04071*,30
*02bv2*,30
*03avk*,30
*021n3*,13
*03ner*,30
*02bu2*,22
*04esz*,30
*041vp*,30
*03bud*,30
*02i11*,9
*04pqq*,30
*01uqq*,4
*025f7*,12
*025jm*,30
*04mn4*,30
*041qi*,30
*02mws*,22
*039vx*,30
*01uwk*,30
*042no*,30
*04ggr*,19
*02z96*,30
*042c1*,30
*03mwy*,30
*02br3*,30
*01sci*,30
*04en7*,30
*04ppo*,30
*02y8t*,30
*0381o*,30
*03qo2*,30
*04o4s*,30
*03fhx*,30
*02c63*,30
*041q6*,30
*03c65*,30
*03df0*,30
*02i2d*,30
*01cgr*,30
*03pj2*,30
*04efs*,30
*03yxd*,30
*02j7h*,30
*051em*,30
*02c4r*,30
*04q56*,30
*03pzo*,30
*025jn*,30
*04pbp*,30
*01fh9*,1
*04q3n*,30
*05139*,30
*041m8*,30
*021at*,30
*03qml*,30
*025fx*,16
*0007c*,30
*03dg7*,30
*05gbf*,30
*031b3*,30
*02mxf*,30
*01te5*,30
*04bpj*,30
*02bqo*,30
*022vw*,30
*021t6*,30
*024o9*,30
*02bqh*,5
*04q0o*,30
*041q1*,30
*043f8*,30
*041yc*,30
*02bra*,30
*03d6y*,20
*01t5w*,30
*04e82*,30
*04qnc*,30
*04dwv*,30
*02h9j*,30
*041sb*,30
*02t8m*,30
*004e1*,30
*02i1q*,30
*03a95*,30
*03qqd*,30
*03z62*,30
*04aeb*,30
*04alq*,30
*02br5*,30
*01sc7*,30
*041rv*,22
*0310a*,30
*04mrn*,30
*04eer*,30
*04pqf*,30
*04ok3*,30
*02brk*,30
*031cd*,11
*03aqw*,30
*0311f*,30
*04emt*,30
*03qlw*,30
*021oi*,30
*02n1i*,30
*04de0*,26
*041ah*,30
*02c5y*,30
*04pmu*,30
*0312h*,30
*0310e*,30
*04y95*,30
*041t8*,30
*05132*,30
*052ru*,30
*04gdv*,30
*04aee*,30
*03nru*,30
*02bwt*,30
*01u5m*,30
*041se*,30
*03dag*,30
*03z61*,30
*041rz*,30
*02hh7*,30
*04ei5*,30
*04eel*,30
*03qu7*,23
*03ap0*,30
*04ai4*,30
*04ppl*,30
*02bxm*,30
*03dgh*,30
*02mzf*,30
*0414h*,30
*02i18*,30
*02brl*,30
*031fh*,30
*03qkh*,30
*03pok*,30
*04t41*,30
*04q5b*,30
*02bvq*,30
*04azt*,30
*02yoh*,30
*04lcq*,30
*03qs6*,30
*0473m*,30
*0317b*,30
*04hyc*,30
*01usr*,30
*0421c*,30
*03qn0*,30
*03qz9*,30
*04eh9*,30
*03qlr*,30
*03yux*,30
*041qv*,30
*04vnr*,30
*04yub*,30
*04alp*,30
*04ppi*,30
*02zpf*,30
*04ylg*,30
*03seg*,30
*0311t*,30
*041pq*,30
*03qkw*,30
*041e2*,30
*0433b*,30
*041w3*,30
*04eep*,30
*02mzx*,30
*04nky*,30
*03zcy*,30
*04053*,30
*03qvs*,30
*03da6*,30
*02n1q*,30
*0512l*,30
*02bul*,30
*03qkb*,30
*05ras*,30
*03qxt*,30
*02n0e*,30
*05r1m*,30
*04ee8*,30
*04pbq*,30
*04y9p*,30
*05g3x*,30
*03qnj*,30
*04fqi*,30
*03qyb*,30
*04ejn*,30
*03av1*,30
*05165*,30
*041tq*,30
*05jr0*,30
*040fw*,30
*04t9b*,30
*03zcx*,30
*04egd*,30
*04n8x*,30
*03c8a*,30
*04pyv*,30
*03dub*,30
*0510z*,30
*04yin*,30
*04ejw*,30
*04vnd*,30
*02mzn*,30
*04pug*,30
*03vum*,30
*0310d*,30
*03c7r*,30
*04ejt*,30
*04o78*,30
*05ahg*,30
*05lo5*,30
*04xon*,30
*03mkv*,30
*041yi*,30
*041sn*,30
*04b3d*,30
*041sv*,30
*045on*,30
*0524l*,30
*04q26*,30
*042af*,30
*033lr*,30
*04ae9*,30
*03zxj*,30
*04pqb*,30
*04y94*,30
*04tjl*,30
*04am3*,30
*03das*,30
*02brj*,30
*04eoj*,30
*05t5r*,30
*021ho*,30
*02484*,30
*02c3a*,30
*02hma*,30
*03c6o*,30
*01f6h*,30
*02i3i*,30
*05rd2*,30
*05udq*,30
*025l1*,30
*0056g*,30
*021iy*,30
*029v2*,30
*0630m*,30
*021jp*,30
*000iy*,30
*02bua*,30
*021k6*,30
*04p0h*,30
*038hy*,30
*04axv*,30
*03bu1*,30
*01sh9*,30
*02bqx*,30
*01ubn*,30
*024nc*,30
*013vo*,30
*01sjz*,30
*02jwc*,30
*0689i*,30
*0313n*,30
*050c3*,30
*01c1i*,30
*02zo9*,30
*02mzo*,30
*05u1q*,30
*025gh*,30
*02hgc*,30
*03mwx*,30
*0597k*,30
*032uh*,30
*021pm*,30
*05gbe*,30
*02h9k*,30
*03733*,30
*05gwo*,30
*04up9*,30
*01fhw*,30
*02n83*,30
*01sg4*,30
*059bx*,30
*03to7*,30
*01sb6*,30
*02ymd*,30
*02i1l*,30
*03yet*,30
*027rt*,30
*023wj*,30
*021sc*,30
*03xu9*,30
*0152p*,30
*00009*,30
*02bsq*,30
*04ooy*,30
*02hnm*,30
*004dk*,30
*01c5r*,30
*01ud3*,30
*04qnd*,30
*05249*,30
*026l3*,30
*02i3j*,30
*01fhx*,30
*04mms*,30
*05r9j*,30
*02bs5*,30
*02c4e*,30
*02buf*,30
*000d8*,30
