"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","% Rostered"
"*03qyb*","Donovan Walton","SEA","2B,INF","893","FA","27","","18.11","0%","1376.1","3%"
"*041sc*","Jordan Balazovic","MIN","SP","896","W (Sat)","23","","17.91","11%","825.29","44%"
"*05249*","Austin Martin","MIN","SS,INF,OF","899","FA","22","","17.87","17%","674.66","53%"
"*04nx1*","Sean Hjelle","SF","SP","900","FA","24","","17.82","1%","1108.9","16%"
"*041vm*","Dylan Lee","ATL","RP","902","FA","27","","17.76","0%","-","3%"
"*041m5*","T.J. Zeuch","STL","SP","904","FA","26","","17.69","0%","-","6%"
"*0515v*","David Hamilton","BOS","SS,INF","907","FA","24","","17.29","0%","-","7%"
"*05t5r*","Michael Stefanic","LAA","2B,INF","910","FA","26","","16.96","3%","961.79","10%"
"*03qqe*","P.J. Higgins","CHC","C","914","FA","28","","16.62","0%","-","1%"
"*03zxh*","Anderson Tejeda","STL","3B,INF","918","FA","23","","16.41","0%","1337.1","10%"
"*04epq*","Mason Martin","PIT","1B,INF,OF","923","FA","22","","16.2","3%","930.19","25%"
"*03yr2*","Yohel Pozo","TEX","UT","924","FA","24","","16.11","2%","964.9","8%"
"*0429r*","Max Kranick","PIT","SP","925","FA","24","","16.08","1%","1197.7","9%"
"*041ql*","Tom Hatch","TOR","SP","928","FA","27","","15.97","1%","966.25","10%"
"*03d6p*","Grant Holmes","OAK","SP","934","FA","25","","15.34","0%","-","8%"
"*03qlj*","Brendon Davis","LAA","2B,3B,SS,INF","935","FA","24","","15.26","19%","697.67","23%"
"*042c1*","Rodolfo Castro","PIT","2B,INF","936","FA","22","","15.22","3%","900.32","12%"
"*04aeb*","Royce Lewis","MIN","SS,INF","937","W (Sat)","22","","15.17","27%","571.27","53%"
"*02yhc*","Luis Barrera","OAK","OF","939","FA","26","","14.99","3%","926.99","9%"
"*03pp6*","Jahmai Jones","BAL","2B,INF","941","FA","24","","14.68","3%","940.15","14%"
"*03dem*","Corey Ray","KC","SP,RP","942","FA","29","","14.16","0%","-","0%"
"*03at2*","Luis Castillo","CHW","3B,INF","945","FA","25","","12.58","2%","710.3","3%"
"*0154j*","Andy Abad","MIL","1B,INF","946","FA","0","","0","0%","-","1%"
