"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","% Rostered"
"*04pma*","Daniel Lynch","KC","SP","689","FA","25","","26.08","78%","436.28","75%"
"*03ca3*","Kyle Freeland","COL","SP","210","FA","28","","71.26","81%","436.79","69%"
"*03c8v*","Bradley Zimmer","CLE","OF","534","FA","29","","40.88","70%","437.8","47%"
"*03128*","Garrett Cooper","MIA","OF","428","FA","31","","50.69","56%","437.81","50%"
"*03d1m*","David Peralta","ARI","OF","315","FA","34","","60.82","75%","438.64","68%"
"*02yoh*","Clint Frazier","CHC","OF","675","W (Fri)","27","","27.64","62%","438.88","56%"
"*04emt*","Jake Meyers","HOU","OF","578","W (Tue)","25","","35.93","66%","439.75","45%"
"*02zpf*","Edmundo Sosa","STL","2B,SS","593","FA","25","","34.85","71%","442.87","49%"
"*03qo0*","Pete Fairbanks","TB","RP","440","sfernand","28","","49.94","43%","442.94","36%"
"*02iug*","Michael Wacha","BOS","SP","275","METS","30","","64.77","71%","443.02","60%"
"*041q4*","Kyle Muller","ATL","SP","1235","Pinstrip","24","","0","79%","444.2","64%"
"*031c2*","Kendall Graveman","CHW","RP","481","CALIXTO","31","","45.97","53%","444.37","41%"
"*03vcw*","Jordan Hicks","STL","RP","618","FA","25","","32.47","60%","444.93","55%"
"*031hc*","Cole Sulser","BAL","RP","450","Hit","31","","48.81","38%","446.45","27%"
"*00068*","Robinson Cano","NYM","2B","527","FA","39","","41.19","69%","447.11","53%"
"*03h90*","Hector Neris","HOU","RP","375","Scavenge","32","","55.12","43%","448.73","37%"
"*0007c*","Miguel Cabrera","DET","1B","420","FA","38","","51.31","49%","451","40%"
"*04si3*","Brayan Rocchio","CLE","SS","1336","W (Mon)","20","","0","3%","451.2","31%"
"*04s1g*","Gabriel Moreno","TOR","C","1230","W (Tue)","21","","0","45%","451.43","51%"
"*04ppo*","Kyle Isbel","KC","OF","649","FA","24","","29.61","47%","451.56","39%"
"*0473n*","Tyler A. Wells","BAL","RP","1488","FA","27","","0","39%","452.97","25%"
"*0374m*","Tyler Rogers","SF","RP","317","99 prob","31","","60.77","42%","453.53","43%"
"*01spl*","Jurickson Profar","SD","1B,OF","379","FA","28","","54.57","48%","453.7","51%"
"*0314j*","Ryan Yarbrough","TB","SP,RP","274","Hit","30","","65.04","68%","454","71%"
"*04yie*","George Kirby","SEA","SP","1124","Canha Ge","23","","0","64%","456.33","60%"
"*02bvq*","Tommy La Stella","SF","2B","515","FA","32","","42.5","70%","456.46","56%"
"*0414k*","Seth Beer","ARI","UT","730","SLG","25","","22.47","71%","457.22","62%"
"*04225*","Tucker Davidson","ATL","SP","941","METS","25","","0","61%","457.94","58%"
"*04eeu*","Spencer Howard","TEX","SP","396","FA","25","","52.86","77%","461.29","71%"
"*01sk9*","Alex Colome","(N/A)","RP","467","CALIXTO","33","","47.15","36%","461.54","31%"
"*03qvr*","Seth Brown","OAK","OF","551","FA","29","","39.08","55%","463.07","47%"
"*04fqi*","George Valera","CLE","OF","1453","W (Mon)","21","","0","3%","463.7","33%"
"*02hh7*","Darin Ruf","SF","1B,OF","510","SLG","35","","43.07","42%","463.81","34%"
"*026ly*","Rougned Odor","BAL","2B,3B","508","W (Fri)","27","","43.22","69%","466.13","54%"
"*041r5*","Dustin May","LAD","SP","752","FA","24","","20.18","60%","466.35","66%"
"*031ui*","Lewin Diaz","MIA","1B","714","FA","25","","24.33","51%","466.62","36%"
"*041ps*","Nick Lodolo","CIN","SP","1156","99 prob","23","","0","67%","468.63","72%"
"*03mmw*","Vladimir Gutierrez","CIN","SP","217","FA","26","","70.95","77%","469.64","70%"
"*04j1w*","Reiver Sanmartin","CIN","SP","311","miche","25","","61.3","74%","469.93","68%"
"*04qk8*","CJ Abrams","SD","SS","811","miche","21","","0","62%","471.83","60%"
"*03i81*","Reynaldo Lopez","CHW","SP,RP","658","FA","28","","28.95","73%","472.59","58%"
"*03de5*","Zach Thompson","PIT","SP,RP","163","FA","28","","75.74","71%","473.36","55%"
"*03mnq*","Carlos Estevez","COL","RP","486","La Maqui","29","","45.12","39%","473.93","27%"
"*031b2*","Jonah Heim","TEX","C","646","FA","26","","30.1","42%","475.13","24%"
"*03btu*","Willi Castro","DET","2B,SS","706","FA","24","","24.84","60%","475.15","44%"
"*05gtn*","Tyler Soderstrom","OAK","C","1407","lasmimis","20","","0","3%","476.2","33%"
"*04c8q*","Edward Olivares","KC","OF","717","W (Mon)","25","","24.18","55%","478.55","37%"
"*01sil*","Danny Duffy","(N/A)","SP","279","METS","33","","64.23","58%","480.16","55%"
"*0001p*","Justin Upton","LAA","OF","494","FA","34","","44.51","68%","480.67","41%"
"*0241r*","Brad Hand","(N/A)","RP","459","METS","31","","47.95","38%","481","31%"
"*04ru5*","Andy Pages","LAD","OF","1273","SLG","21","","0","1%","481.8","28%"
"*03dg7*","Austin Slater","SF","OF","556","FA","29","","38.07","47%","482","29%"
"*04pmw*","Alek Thomas","ARI","OF","723","SLG","21","","23.28","39%","483","55%"
"*03mm4*","Andy Ibanez","TEX","2B","632","FA","28","","31.6","60%","483.04","37%"
"*039vx*","Jose Siri","HOU","OF","563","99 prob","26","","37.16","48%","483.22","42%"
"*03d7h*","Mitch Keller","PIT","SP","304","FA","25","","62.12","69%","483.62","66%"
"*04egl*","Glenn Otto","TEX","SP","1267","W (Mon)","25","","0","73%","484.18","48%"
"*0421l*","Sam Long","SF","SP","316","W (Mon)","26","","60.81","60%","484.63","50%"
"*02mw1*","Chris Stratton","PIT","RP","368","Pinstrip","31","","55.76","45%","484.71","29%"
"*05r01*","Robert Suarez","SD","RP","431","W (Mon)","30","","50.59","29%","486.41","17%"
"*021oi*","Leury Garcia","CHW","2B,OF","495","CALIXTO","30","","44.34","49%","486.42","40%"
"*05ajh*","Garrett Crochet","CHW","RP","500","FA","22","","44.14","51%","486.69","53%"
"*030vs*","Kirby Yates","ATL","RP","544","W (Thu)","34","","39.55","31%","488.42","32%"
"*01gjf*","Jordan Lyles","BAL","SP","100","Hit","31","","83.02","61%","488.83","56%"
"*04pt2*","Lars Nootbaar","STL","OF","573","FA","24","","36.76","51%","489.9","39%"
