playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,K,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1.1,WAR,-1.2,ADP,playerid,NSB,K%,BB%,SF,SH,TB,wAVG,wOBP,wSLG,wOPS,rR,rRBI,rH,rHR,rK%,rBB%,rNSB,rwAVG,rwOBP,rwSLG,rwOPS,POINTS
19612,Bo Bichette,TOR,150,648,594,173,37,3,25,94,84,43,129,5,17,5,,0.291,0.342,0.49,0.832,0.354,122,,4.5,,5.3,19612,12,0.21717171717171718,0.06635802469135803,0,0,291,0.4334396788602368,0.15937884000831182,0.006377617962832205,0.16575645797114402,8.313253012048193,7.411764705882353,9.457364341085272,5.365853658536586,6.08881946338777,1.602245989943507,3.5294117647058822,8.429612417340154,3.700763024967874,6.0194044632713135,3.7096195072617233,63.628112348430626
14162,Carlos Correa,,140,615,540,147,29,1,25,80,81,65,120,5,1,0,,0.273,0.354,0.471,0.825,0.353,123,,4.4,,101.3,14162,1,0.2222222222222222,0.10569105691056911,0,0,253,0.19928109834467245,0.2769372816371962,0.0036233100972726806,0.2805605917344689,6.626506024096385,7.0588235294117645,7.441860465116279,5.365853658536586,5.933873067995244,4.209185077984286,0.29411764705882354,6.039465789928897,4.338239366006301,4.979842008768258,4.327209659373149,56.614976294275976
9777,Nolan Arenado,STL,152,647,579,154,29,2,34,84,95,57,94,4,2,1,,0.267,0.333,0.5,0.833,0.349,122,,4.3,,67.2,9777,1,0.16234887737478412,0.08809891808346214,0,0,289,0.14258046593639273,0.06233078774562917,0.007262161771963149,0.06959294951759232,7.108433734939759,8.705882352941176,7.984496124031008,7.560975609756097,7.770750542907673,3.04320239719251,0.29411764705882354,5.460700642718214,3.1745070079255355,6.353259129568339,3.192306812443326,60.64863200148246
14161,Byron Buxton,MIN,122,498,454,123,28,4,30,81,75,34,124,6,16,3,,0.272,0.329,0.551,0.88,0.369,135,,4.3,,53.7,14161,13,0.27312775330396477,0.06827309236947791,0,0,249,0.15878683922087578,0.0055660355825104535,0.010242842043742761,0.015808877626253215,6.746987951807229,6.352941176470588,5.5813953488372094,6.585365853658536,4.372122615756922,1.7291740324730072,3.823529411764706,5.626125323561377,2.866692562552631,7.478261653129946,2.902974781864866,54.065570711877015
11739,J.T. Realmuto,PHI,143,591,526,141,26,3,23,80,74,49,137,10,12,3,,0.268,0.339,0.463,0.802,0.343,113,,4.3,,50.7,11739,9,0.26045627376425856,0.0829103214890017,0,0,242,0.15215126329718998,0.11983649899289239,0.002676925139707076,0.12251342413259947,6.626506024096385,6.235294117647059,6.976744186046512,4.878048780487805,4.760875831392511,2.699309376212357,2.6470588235294117,5.558393449802965,3.4863394028329426,4.622646547181101,3.476993111585387,51.96820965081443
12564,Trevor Story,,141,633,564,144,32,3,29,90,83,57,161,7,21,5,,0.256,0.33,0.476,0.806,0.343,116,,4.3,,38.2,12564,16,0.2854609929078014,0.09004739336492891,0,0,269,0.023468981548235845,0.02085992717466567,0.0046832355511507995,0.02554316272581647,7.831325301204819,7.294117647058823,7.209302325581396,6.341463414634147,3.9937463937718105,3.1723446495626697,4.705882352941177,4.2448839424740035,2.949625731088356,5.379891226287362,2.95534048001759,56.077923464622145
12916,Francisco Lindor,NYM,147,646,569,146,28,2,27,86,84,63,109,6,15,4,,0.257,0.334,0.453,0.787,0.336,115,,4.3,,53.6,12916,11,0.19156414762741653,0.09752321981424149,0,0,259,0.037580764902783725,0.06793205145516623,0.0023359725471809867,0.07026802400234722,7.349397590361446,7.411764705882353,7.364341085271318,5.853658536585366,6.874443981327026,3.6678321084879237,3.235294117647059,4.388928338871381,3.2048806080283603,4.493960310472556,3.195938383363811,57.04043976629859
12861,Anthony Rendon,LAA,134,577,494,132,29,1,23,75,76,70,89,7,1,0,,0.267,0.362,0.473,0.836,0.357,127,,4.2,,108.2,12861,1,0.18016194331983806,0.12131715771230503,0,0,232,0.13554397210606695,0.3551949987985914,0.003452236544728593,0.35864723534332,6.024096385542169,6.470588235294118,6.27906976744186,4.878048780487805,7.224256611810731,5.244861471980023,0.29411764705882354,5.38887644579866,4.7626022828911125,4.915273467100472,4.747277652775552,56.22906874818133
14344,Matt Olson,OAK,150,639,544,140,28,1,38,87,95,80,129,10,3,1,,0.258,0.361,0.52,0.881,0.371,140,,4.2,,42.3,14344,2,0.23713235294117646,0.12519561815336464,0,0,284,0.04412671060645135,0.36420886892189475,0.009281578648440647,0.3734904475703354,7.469879518072289,8.705882352941176,6.89922480620155,8.536585365853659,5.476439408068045,5.501920476962603,0.5882352941176471,4.455745322525748,4.811481196775823,7.115450600981567,4.8271268829087015,64.38797122540882
20043,Luis Robert,CHW,140,600,544,152,31,3,27,86,81,41,142,10,14,4,,0.279,0.339,0.498,0.837,0.355,127,,4.2,,16.4,20043,10,0.2610294117647059,0.06833333333333333,0,0,270,0.27626025259914755,0.12068449538342185,0.006573353991859154,0.127257849375281,7.349397590361446,7.0588235294117645,7.829457364341085,5.853658536585366,4.743292309280616,1.7331667204127696,2.9411764705882355,6.825221603434415,3.4909377764482974,6.093281399584169,3.5025158015030646,57.420929101951224
13152,Jorge Polanco,MIN,147,638,576,156,31,4,27,87,83,49,115,5,9,3,,0.271,0.331,0.48,0.811,0.344,119,,4.2,,76.9,13152,6,0.1996527777777778,0.0768025078369906,0,0,276,0.19571493601402423,0.027125183535681163,0.005017275800777876,0.03214245933645904,7.469879518072289,7.294117647058823,8.13953488372093,5.853658536585366,6.626289772405594,2.2944919173610696,1.7647058823529411,6.003064600407536,2.9835999199713306,5.505968527284574,2.990841471697884,56.926152676918335
18345,Kyle Tucker,HOU,149,613,546,147,34,4,30,90,87,56,114,5,15,4,,0.269,0.339,0.506,0.845,0.356,129,,4.0,,12.7,18345,11,0.2087912087912088,0.09135399673735727,0,0,279,0.16967781917103242,0.13337871118867528,0.008143349493724306,0.1415220606823996,7.831325301204819,7.764705882352941,7.441860465116279,6.585365853658536,6.345928317280862,3.258944517713331,3.235294117647059,5.737293741732327,3.559773856033558,6.685847102890592,3.579250289557947,62.02558944518825
16556,Ozzie Albies,ATL,148,646,588,162,34,6,28,94,84,47,118,5,20,4,,0.276,0.332,0.498,0.831,0.35,117,,4.0,,17.5,16556,16,0.20068027210884354,0.07275541795665634,0,0,292,0.25208075927450335,0.050818295937660185,0.007076086285550842,0.05789438222321103,8.313253012048193,7.411764705882353,8.604651162790697,6.097560975609756,6.594766876914385,2.026256385885707,4.705882352941177,6.578412221966671,3.112078984448098,6.283028386013339,3.1293742357321315,62.85702930023251
19326,Bryan Reynolds,PIT,150,631,554,160,33,5,23,82,85,65,124,7,4,1,,0.288,0.367,0.49,0.857,0.364,129,,4.0,,92.8,19326,3,0.22382671480144403,0.10301109350237718,0,0,272,0.3813059427226151,0.44386427151021923,0.006109147966493589,0.4499734194767128,6.867469879518072,7.529411764705882,8.449612403100776,4.878048780487805,5.884648220361518,4.031560802174647,0.8823529411764706,7.8974633355968,5.243423249446515,5.918075439074702,5.238567906025268,62.820634721668455
19556,Yordan Alvarez,HOU,144,615,537,150,32,1,35,91,100,67,147,6,2,1,,0.28,0.363,0.543,0.906,0.379,145,,3.9,,27.9,19556,1,0.2737430167597765,0.10894308943089431,0,0,289,0.2722206183279341,0.38016747820952546,0.010850989409447676,0.39101846761897313,7.951807228915663,9.294117647058824,7.674418604651163,7.804878048780488,4.3532467105273565,4.424725304976365,0.29411764705882354,6.783987503842349,4.898018885739549,7.707795604688894,4.921419067459886,66.10853225369935
19251,Pete Alonso,NYM,152,650,565,149,28,1,39,93,106,65,139,14,2,1,,0.264,0.352,0.525,0.877,0.369,137,,3.9,,45.8,19251,1,0.24601769911504426,0.1,0,0,296,0.11491801510117305,0.2678651197722093,0.0098006180227872,0.2776657377949965,8.19277108433735,10.0,7.596899224806202,8.78048780487805,5.20384244049984,3.831989680748146,0.29411764705882354,5.1783393753063836,4.289044357371725,7.311352392762502,4.311636759459066,64.99048076722809
14128,Joey Gallo,NYY,143,596,486,105,18,1,41,92,95,99,202,7,4,1,,0.217,0.355,0.516,0.87,0.368,135,,3.8,,171.1,14128,3,0.4156378600823045,0.16610738255033558,0,0,248,-0.35284848414469105,0.28141489075031445,0.007266914806718372,0.2886818055570328,8.072289156626505,8.705882352941176,4.186046511627907,9.268292682926829,0.0,8.213495754779256,0.8823529411764706,0.4036669369664269,4.362519799078405,6.355053074442208,4.370897822121247,54.82049703268643
5235,Justin Turner,LAD,130,549,479,135,27,1,23,78,78,51,90,13,2,0,,0.282,0.364,0.487,0.851,0.364,131,,3.7,,152.0,5235,2,0.18789144050104384,0.09289617486338798,0,0,233,0.2691086736793191,0.34207845010747473,0.004933236523767037,0.34701168663124177,6.385542168674699,6.705882352941177,6.511627906976744,4.878048780487805,6.987120381978675,3.3611579553924966,0.5882352941176471,6.752222688774711,4.691476046860685,5.474249459791623,4.684684085249432,57.02024712124569
13613,Ketel Marte,ARI,143,615,554,160,33,4,22,83,83,51,92,5,6,2,,0.289,0.352,0.482,0.834,0.355,120,,3.7,,78.3,13613,4,0.16606498194945848,0.08292682926829269,0,0,267,0.3813059427226151,0.25973224887513857,0.005143792303435257,0.26487604117857383,6.9879518072289155,7.294117647058823,8.449612403100776,4.634146341463414,7.6567427351756745,2.700403489039728,1.1764705882352942,7.8974633355968,4.244942779384077,5.55371983630933,4.2428344400662885,60.83840540265912
18360,Austin Riley,ATL,148,620,558,153,31,2,33,86,90,48,158,9,1,0,,0.274,0.339,0.512,0.851,0.359,122,,3.6,,51.6,18360,1,0.2831541218637993,0.07741935483870968,0,0,287,0.22643014652816706,0.12828961917760728,0.008663461481751566,0.13695308065935885,7.349397590361446,8.117647058823529,7.906976744186046,7.317073170731708,4.064519781646707,2.3353756852628185,0.29411764705882354,6.316586559154317,3.5321775753286393,6.882153732825095,3.5546714092082112,57.67069695458734
9218,Paul Goldschmidt,STL,150,659,573,156,28,2,28,92,85,75,138,5,7,2,,0.272,0.359,0.474,0.832,0.357,127,,3.5,,47.8,9218,5,0.24083769633507854,0.11380880121396054,0,0,272,0.21043763982439012,0.3538559074474035,0.004501088014422006,0.3583569954618255,8.072289156626505,7.529411764705882,8.13953488372093,6.097560975609756,5.362761746757872,4.747217966302906,1.4705882352941178,6.1533448966975195,4.755340881301882,5.311143014538344,4.745716304009745,62.38490982556546
17232,Yoán Moncada,CHW,144,618,534,139,28,4,21,83,71,74,160,6,5,2,,0.26,0.354,0.445,0.799,0.345,120,,3.5,,157.1,17232,3,0.299625468164794,0.11974110032362459,0,0,238,0.07389758839432825,0.2943341832212565,0.001224772906715299,0.2955589561279718,6.9879518072289155,5.882352941176471,6.821705426356589,4.390243902439025,3.559188985799681,5.140402563532589,0.8823529411764706,4.759628114192385,4.432576386925839,4.074558601560557,4.407893532362443,51.33885520275096
15172,Tim Anderson,CHW,141,623,585,168,30,2,21,84,76,30,132,4,19,6,,0.287,0.324,0.454,0.778,0.333,112,,3.5,,32.5,15172,13,0.22564102564102564,0.048154093097913325,0,0,265,0.3819554717518714,-0.026065647799927705,0.0021480566496562825,-0.023917591150271422,7.108433734939759,6.470588235294118,9.069767441860465,4.390243902439025,5.828986277267997,0.3957145289952032,3.823529411764706,7.904093328037241,2.6951655373205416,4.423034937854037,2.6892657882050797,54.79882312397817
15429,Kris Bryant,,130,583,502,133,27,2,25,81,77,63,133,14,6,2,,0.264,0.36,0.479,0.838,0.36,127,,3.5,,98.5,15429,4,0.2649402390438247,0.10806174957118353,0,0,239,0.11533658250064138,0.33821740492215313,0.004135132693696142,0.3423525376158493,6.746987951807229,6.588235294117647,6.3565891472868215,5.365853658536586,4.623310528479977,4.366311315499951,1.1764705882352942,5.1826118536242,4.670539013983939,5.173019961480531,4.659620139772887,54.90954945282506
12856,George Springer,TOR,134,591,512,134,23,2,30,86,81,66,126,8,4,2,,0.262,0.353,0.493,0.846,0.362,127,,3.5,,59.5,12856,2,0.24609375,0.1116751269035533,0,0,251,0.08529960749145693,0.258047462888189,0.0056183730737277005,0.26366583596191673,7.349397590361446,7.0588235294117645,6.434108527131783,6.585365853658536,5.201509246022759,4.6058009779062585,0.5882352941176471,4.8760129053483485,4.235806802490271,5.732841552002118,4.236324127246176,56.90422640569711
21523,Jonathan India,CIN,147,636,549,144,31,3,23,89,75,66,148,17,9,3,,0.262,0.356,0.454,0.81,0.35,114,,3.5,,88.7,21523,6,0.26958105646630237,0.10377358490566038,0,0,250,0.09692461585436019,0.32976743930770436,0.0022826151052484644,0.3320500544129528,7.710843373493976,6.352941176470588,7.209302325581396,4.878048780487805,4.480933098085003,4.082097679993672,1.7647058823529411,4.9946738336433665,4.624717947566572,4.473821532961527,4.604197813417293,55.17628344405414
12979,Javier Báez,DET,144,590,547,143,26,4,30,81,84,32,173,6,15,4,,0.261,0.308,0.488,0.796,0.335,112,,3.4,,62.8,12979,11,0.3162705667276051,0.05423728813559322,0,0,267,0.08741764807009833,-0.20280585930946837,0.005737907001971465,-0.1970679523074969,6.746987951807229,7.411764705882353,7.131782945736434,6.585365853658536,3.048527577194025,0.7989003000672279,3.235294117647059,4.897632559578458,1.7367681497204592,5.777957417732051,1.7578014377515192,49.12878301677535
9241,Starling Marte,NYM,138,604,546,150,26,3,16,86,63,40,113,13,34,6,,0.275,0.338,0.42,0.758,0.329,111,,3.4,,27.7,9241,28,0.20695970695970695,0.06622516556291391,0,0,230,0.2276887608602618,0.09807699683657134,-0.0013317709821826784,0.09674522585438866,7.349397590361446,4.9411764705882355,7.674418604651163,3.1707317073170733,6.4021176694561746,1.5934402702823913,8.235294117647058,6.329433719375582,3.368345598005054,3.1096384946183098,3.3383727938964296,55.51236703619892
13301,Max Muncy,LAD,125,525,439,112,20,1,31,80,82,75,114,8,2,1,,0.255,0.37,0.516,0.886,0.376,138,,3.3,,150.1,13301,1,0.25968109339407747,0.14285714285714285,0,0,227,0.0170379298369161,0.4106221434220958,0.0072141807323701235,0.4178363241544659,6.626506024096385,7.176470588235294,4.728682170542636,6.829268292682927,4.784657889411955,6.672501957893766,0.29411764705882354,4.1792397259576815,5.063163372841099,6.3351495754721405,5.0656860337627005,57.75544327795541
13590,Jesse Winker,CIN,135,567,488,140,27,1,27,83,78,65,94,10,1,1,,0.287,0.38,0.51,0.89,0.38,133,,3.3,,107.6,13590,0,0.19262295081967212,0.1146384479717813,0,0,250,0.32185875061541136,0.5165731811896113,0.007485505029160233,0.5240586862187715,6.9879518072289155,6.705882352941177,6.89922480620155,5.853658536585366,6.841960549189146,4.802205808332863,0.0,7.290662997931371,5.637697017123985,6.437555902471517,5.637110446756149,63.093910224762034
10059,Max Stassi,LAA,103,386,341,76,13,1,16,45,47,35,115,7,0,0,,0.223,0.307,0.403,0.709,0.309,94,,3.3,,297.7,10059,0,0.33724340175953077,0.09067357512953368,0,0,139,-0.2079452098128598,-0.14499896508682886,-0.001801294387918262,-0.14680025947474712,2.4096385542168677,3.0588235294117645,1.937984496124031,3.1707317073170733,2.4050938697009503,3.213847112664643,0.0,1.8827503499360136,2.0502337495127363,2.932425587442458,2.0282170669210142,25.08974602324755
5038,Josh Donaldson,MIN,134,564,477,116,24,1,26,78,73,78,124,5,1,0,,0.244,0.356,0.461,0.816,0.352,124,,3.2,,194.9,5038,1,0.259958071278826,0.13829787234042554,0,0,220,-0.09323375203099116,0.2561353002542788,0.0025574282395434134,0.2586927284938222,6.385542168674699,6.117647058823529,5.038759689922481,5.609756097560975,4.776160377892599,6.370319800750615,0.29411764705882354,3.0536542875115056,4.225437845378849,4.5775446570137115,4.209571238678429,50.65851086926622
11737,Nick Castellanos,,142,637,577,163,36,3,30,87,94,48,140,7,3,1,,0.282,0.341,0.513,0.855,0.361,128,,3.2,,61.5,11737,2,0.24263431542461006,0.07535321821036106,0,0,295,0.32536343641638155,0.16985029702707988,0.008585049739548434,0.1784353467666283,7.469879518072289,8.588235294117647,8.682170542635658,6.585365853658536,5.307642575698242,2.198435001217513,0.5882352941176471,7.326436672886529,3.7575458983470438,6.852558674042517,3.77782573471299,61.134331059506614
