playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,K,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1.1,WAR,-1.2,ADP,-1.3,InterSD,InterSK,IntraSD,playerid,NSB,K%,BB%,SF,SH,TB,wAVG,wOBP,wSLG,wOPS,rR,rRBI,rH,rHR,rK%,rBB%,rNSB,rwAVG,rwOBP,rwSLG,rwOPS,POINTS
19326,Bryan Reynolds,PIT,150,631,552,157,32,6,25,85,85,69,128,7,5,2,,0.285,0.37,0.499,0.869,0.37,133,,4.1,,92.8,,1.88,1.07,0.72,19326,3,0.2318840579710145,0.10935023771790808,0,0,276,0.310054531223497,0.4475051094420701,0.006542101712398607,0.4540472111544687,6.818181818181818,7.241379310344827,8.217054263565892,5.5,5.58399139479171,4.313053994491937,1.1111111111111112,7.367888727372906,4.92571147088517,6.237409733299409,4.93599650018193,62.25177832422671
16556,Ozzie Albies,ATL,148,646,593,161,36,6,28,99,88,44,119,5,17,5,,0.272,0.326,0.495,0.821,0.347,114,,4.1,,17.5,,2.28,0.77,0.43,16556,12,0.20067453625632378,0.06811145510835913,0,0,293,0.18397488789825278,-0.03143948753533965,0.006303650847328313,-0.025135836688011337,8.409090909090908,7.586206896551724,8.527131782945736,6.25,6.479325511239416,1.8252684151608674,3.611111111111111,6.146179236196316,2.4854475603308472,6.1439630417768845,2.520531891276265,59.98425635568008
11368,Yasmani Grandal,CHW,126,512,412,97,17,1,26,71,72,90,123,4,1,1,,0.236,0.374,0.468,0.842,0.363,129,,4.1,,101.0,,2.42,2.34,0.71,11368,0,0.29854368932038833,0.17578125,0,0,194,-0.161903480089165,0.4046825651997932,0.00264137752380883,0.407323942723602,5.2272727272727275,5.747126436781609,3.565891472868217,5.75,3.671669806446827,8.320595049728752,0.2777777777777778,2.7946240301522822,4.70752692525708,4.70875195360067,4.700473975302758,49.471710155188696
19755,Shohei Ohtani,LAA,143,600,516,134,25,5,38,99,94,78,172,4,22,7,,0.259,0.36,0.547,0.907,0.38,143,,3.9,,9.6,,6.07,-0.17,0.92,19755,15,0.3333333333333333,0.13,0,0,283,0.04419939080277935,0.3320070149694432,0.011010096418256177,0.34301711138769936,8.409090909090908,8.275862068965518,6.434108527131783,8.75,2.673629674059973,5.5587789546198225,4.444444444444445,4.791757166687857,4.337238746778755,7.988375589009194,4.376316274186001,66.03960235497425
16505,Matt Chapman,OAK,146,614,533,120,24,3,30,78,79,68,185,6,2,1,,0.224,0.316,0.447,0.764,0.328,111,,3.9,,189.5,,2.53,0.12,1.27,16505,1,0.34709193245778613,0.11074918566775244,0,0,240,-0.31070693460241716,-0.1263688037672961,0.001214008307579617,-0.12515479545971647,6.0227272727272725,6.551724137931035,5.348837209302325,6.75,2.2789250290076373,4.397447429885243,0.5555555555555556,1.3527212145666334,2.0017745302635133,4.149379141938199,2.0163565949663957,41.42544811614381
5417,Jose Altuve,HOU,140,630,565,156,29,2,25,100,77,56,92,5,6,3,,0.277,0.345,0.468,0.813,0.348,124,,3.9,,72.2,,2.0,-0.19,0.73,5417,3,0.16283185840707964,0.08888888888888889,0,0,264,0.22625521029329132,0.1786373552451037,0.003122834678280728,0.18176018992338444,8.522727272727273,6.32183908045977,8.13953488372093,5.5,7.564950624174728,3.078695331859889,1.1111111111111112,6.555874804788413,3.5558071407824667,4.8974305653640835,3.5634528214993884,58.811423636488065
21523,Jonathan India,CIN,147,636,543,142,31,2,22,98,72,71,143,18,12,3,,0.261,0.363,0.451,0.814,0.353,116,,3.8,,88.7,,3.62,-0.88,0.71,21523,9,0.26335174953959484,0.11163522012578617,0,0,243,0.06535173547121409,0.3847274221829511,0.0009442559983187659,0.38567167818126985,8.295454545454545,5.747126436781609,7.054263565891473,4.75,4.681250939979104,4.450898662147766,2.7777777777777777,4.996723008599397,4.6058537554556755,4.043665703559367,4.591329298878689,55.99434369452541
13613,Ketel Marte,ARI,143,615,557,163,35,4,22,84,78,47,90,5,5,2,,0.292,0.351,0.49,0.842,0.358,122,,3.8,,78.3,,2.69,-0.94,0.91,13613,3,0.1615798922800718,0.07642276422764227,0,0,272,0.4007069159369048,0.22931673121266982,0.0053434624705232525,0.23466019368319307,6.704545454545454,6.436781609195402,8.682170542635658,4.75,7.600866842192879,2.326659427792934,1.1111111111111112,8.24630871557402,3.814022919733824,5.767674085876618,3.830111017084801,59.2702517257427
7304,Salvador Perez,KCR,139,584,544,144,25,1,35,74,98,25,139,10,1,1,,0.264,0.307,0.502,0.809,0.34,114,,3.7,,32.6,,1.94,0.11,1.12,7304,0,0.2555147058823529,0.04280821917808219,0,0,276,0.09901719146144239,-0.2163194617477382,0.007229357134410863,-0.20909010461332733,5.568181818181818,8.735632183908047,7.209302325581396,8.0,4.906078882635972,0.2988163359673675,0.2777777777777778,5.3229406756493365,1.5434681921493343,6.506738785215533,1.5932557160622876,49.96219269312887
9777,Nolan Arenado,STL,152,647,582,150,29,2,31,82,97,52,94,4,2,1,,0.258,0.319,0.477,0.796,0.333,109,,3.7,,67.2,,1.99,-0.47,0.98,9777,1,0.16151202749140894,0.080370942812983,0,0,276,0.027386251348882062,-0.10548841964974631,0.00398366022229979,-0.10150475942744652,6.4772727272727275,8.620689655172415,7.674418604651163,7.0,7.602813737154962,2.564838664125678,0.5555555555555556,4.628838145777293,2.1081618830432163,5.234780144879951,2.1355716325026792,54.602940750135645
11739,J.T. Realmuto,PHI,143,591,530,139,27,3,22,78,80,48,138,10,12,3,,0.262,0.333,0.452,0.785,0.336,108,,3.6,,50.7,,2.09,-0.37,0.29,11739,9,0.26037735849056604,0.08121827411167512,0,0,238,0.07168256147373486,0.05525979629584232,0.0010822313488190738,0.0563420276446614,6.0227272727272725,6.666666666666667,6.821705426356589,4.75,4.766579827944683,2.615955075726878,2.7777777777777777,5.058068599451957,2.9271878675382763,4.097736968983855,2.9312452889870366,49.43565077216099
14128,Joey Gallo,NYY,143,596,490,102,18,1,38,88,89,97,209,7,5,1,,0.209,0.347,0.486,0.833,0.356,124,,3.6,,171.1,,3.1,-0.12,1.9,14128,4,0.42653061224489797,0.16275167785234898,0,0,236,-0.4503069045484642,0.18226324846317143,0.004121980790135205,0.18638522925330664,7.159090909090909,7.7011494252873565,3.953488372093023,8.75,0.0,7.534568410662199,1.3888888888888888,0.0,3.574281378553212,5.288986697789399,3.586766707219103,48.93722078958408
9218,Paul Goldschmidt,STL,150,659,576,159,29,2,30,95,88,75,138,4,8,2,,0.276,0.361,0.491,0.852,0.36,127,,3.5,,47.8,,3.92,-1.88,0.51,9218,6,0.23958333333333334,0.11380880121396054,0,0,282,0.2294603775675641,0.3739581692558558,0.005644051254127924,0.3796022205099837,7.954545454545454,7.586206896551724,8.372093023255815,6.75,5.363115728486176,4.582022893865869,1.9444444444444444,6.5869328184099,4.55098348564269,5.885472053723605,4.5607343930984205,64.13655119202409
19251,Pete Alonso,NYM,152,650,567,146,27,2,40,90,106,65,144,14,2,1,,0.258,0.347,0.524,0.872,0.368,133,,3.4,,45.8,,2.4,-0.58,1.35,19251,1,0.25396825396825395,0.1,0,0,297,0.02418178960311157,0.20268024812011287,0.009294866734109009,0.21197511485422188,7.386363636363637,9.655172413793103,7.364341085271318,9.25,4.9504432651086105,3.748988202876087,0.5555555555555556,4.597786968714388,3.678307747655323,7.316192918849757,3.7157601332037267,62.2189119273915
17232,Yoán Moncada,CHW,144,618,536,139,30,3,19,83,70,71,164,7,4,2,,0.26,0.352,0.432,0.784,0.34,114,,3.3,,157.1,,1.42,0.61,0.44,17232,2,0.30597014925373134,0.11488673139158576,0,0,232,0.04198838267901461,0.24667379136507073,-0.000587634055128905,0.24608615730994182,6.590909090909091,5.517241379310345,6.821705426356589,4.0,3.458620628585697,4.647050496082255,0.8333333333333334,4.770332537472309,3.902458633907299,3.443332141218344,3.8877069835684237,47.87269065074368
17929,Cedric Mullins,BAL,149,644,573,149,30,5,23,86,61,51,122,7,27,7,,0.261,0.326,0.45,0.776,0.333,109,,3.3,,33.0,,2.73,0.48,1.44,17929,20,0.21291448516579406,0.07919254658385093,0,0,258,0.05233929073753529,-0.0715813284456801,0.0012929341776349301,-0.07028839426804517,6.931818181818182,4.482758620689655,7.596899224806202,5.0,6.128187677651048,2.493750310879914,5.833333333333333,4.870632651621339,2.2809214287178894,4.180309461398484,2.292927001397107,52.09153789231317
15986,Willy Adames,MIL,144,593,531,135,28,2,25,81,73,58,167,2,6,3,,0.255,0.33,0.459,0.789,0.339,110,,3.3,,124.6,,2.69,-0.03,0.37,15986,3,0.3145009416195857,0.09780775716694773,0,0,242,-0.010676738180809275,0.00937324067262768,0.0017712196799208324,0.011144460352548513,6.363636363636363,5.862068965517241,6.511627906976744,5.5,3.2138905261732083,3.616738176048271,1.1111111111111112,4.260008457299993,2.6933919204211283,4.367745131965798,2.703413514273213,46.20363207342307
5038,Josh Donaldson,MIN,134,564,475,117,25,1,28,77,75,78,126,6,1,1,,0.247,0.356,0.478,0.834,0.358,128,,3.3,,194.9,,2.76,-0.63,0.76,5038,0,0.26526315789473687,0.13829787234042554,0,0,228,-0.08326672739157881,0.27862774596923434,0.0038558074353529093,0.28248355340458725,5.909090909090909,6.091954022988506,5.116279069767442,6.25,4.626416741414109,6.059359375314898,0.2777777777777778,3.556612758801481,4.0652667806368665,5.184675818612995,4.0711788791598496,51.208612133564834
13152,Jorge Polanco,MIN,147,638,579,155,32,3,26,90,83,47,111,5,9,4,,0.268,0.326,0.467,0.792,0.338,114,,3.3,,76.9,,2.13,1.21,0.3,13152,5,0.19170984455958548,0.07366771159874608,0,0,271,0.13795183627757224,-0.03793698903924447,0.0032795161047298738,-0.0346574729345146,7.386363636363637,7.011494252873563,8.062015503875969,5.75,6.736503253112568,2.1604571355148146,1.6666666666666667,5.7002166882785,2.4523422313871337,4.958832569170554,2.4725352530899687,54.35742719033337
18577,Ke'Bryan Hayes,PIT,140,602,544,145,31,4,15,78,62,51,126,4,12,3,,0.266,0.332,0.421,0.752,0.326,104,,3.2,,140.5,,3.27,-1.69,0.66,18577,9,0.23161764705882354,0.08471760797342193,0,0,229,0.11832000213502503,0.044685819134210325,-0.0018429638821749195,0.042842855252035406,6.0227272727272725,4.597701149425287,7.286821705426356,3.0,5.591634151411278,2.8270571444019805,2.7777777777777777,5.509984566196089,2.8733125445439276,2.9513799771009612,2.8631986973750907,46.30159498638602
13301,Max Muncy,LAD,125,525,440,110,20,1,30,80,83,74,117,8,2,1,,0.25,0.366,0.509,0.875,0.373,136,,3.2,,150.1,,3.55,0.83,0.81,13301,1,0.26590909090909093,0.14095238095238094,0,0,222,-0.04573115479821199,0.3467406266989548,0.005723731130330423,0.3524643578292852,6.25,7.011494252873563,4.573643410852713,6.75,4.607886311182656,6.21949621319293,0.5555555555555556,3.920331786589073,4.412307765622584,5.916697861228447,4.423937928445278,54.64135108554281
13621,Jeimer Candelario,DET,144,609,537,138,33,3,20,73,70,64,135,6,1,1,,0.257,0.342,0.441,0.783,0.339,115,,3.2,,239.5,,2.18,0.14,0.4,13621,0,0.25139664804469275,0.10509031198686371,0,0,237,0.017717121182653228,0.1428803664651479,0.0002941672772875936,0.1431745337424355,5.454545454545454,5.517241379310345,6.744186046511628,4.25,5.024217113310186,4.056068188119961,0.2777777777777778,4.535144447223354,3.3736222078685296,3.788901938460154,3.3689503503954397,46.39065490352283
15172,Tim Anderson,CHW,141,623,591,174,32,2,21,99,69,26,133,4,19,6,,0.295,0.327,0.46,0.787,0.337,112,,3.2,,32.5,,2.38,0.09,1.17,15172,13,0.22504230118443316,0.04173354735152488,0,0,273,0.44249220052532956,-0.005066813732501618,0.002647975968707028,-0.00241883776379459,8.409090909090908,5.402298850574713,9.534883720930232,4.5,5.780266695754764,0.23398529820526873,3.888888888888889,8.651207376664791,2.6198186013907856,4.711337823208434,2.6350436778869453,56.366821842595726
