ID,Player,Position,Status,Age,ADP,IDFANGRAPHS
*0473m*,Zach McKinstry,"2B,OF",W (Mon),26,626.13,19392
*01sik*,Brad Boxberger,RP,SLG,33,628.91,10133
*02bwt*,Austin Barnes,C,FA,32,631.71,12158
*03df0*,Jose Trevino,C,FA,29,632,16725
*05249*,Austin Martin,"SS,OF",lasmimis,22,633.89,sa3014454
*03d7m*,Brent Honeywell Jr.,SP,METS,26,634.2,16466
*01cg1*,Daniel Bard,RP,FA,36,634.42,7115
*02hgr*,Ryan Tepera,RP,sfernand,34,635.48,10291
*02brk*,Austin Hedges,C,FA,29,635.68,12976
*01sex*,Mychal Givens,RP,La Maqui,31,637.4,10430
*03yug*,Zack Collins,C,FA,26,640.24,19181
*02mzx*,Brett Phillips,OF,FA,27,640.42,14735
*0429h*,Bryse Wilson,SP,FA,24,642.19,19990
*041qa*,Mitch White,RP,W (Mon),27,647.18,19225
*01cde*,Jason Castro,C,FA,34,648.4,8722
*03sef*,Seth Lugo,RP,Pinstrip,32,649.33,12447
*04azt*,Riley Adams,C,FA,25,649.43,19864
*03atj*,Aristides Aquino,OF,FA,27,651.83,15482
*04ylg*,Mike Brosseau,"2B,3B",W (Mon),27,651.95,19683
*02hka*,Ben Gamel,OF,FA,29,652.2,12160
*03dez*,Greg Allen,OF,W (Mon),28,653.26,16623
*04azv*,Jake Burger,3B,W (Mon),25,655.13,22275
*03poq*,Tony Santillan,RP,FA,24,656.36,19926
*03aab*,Steven Duggar,OF,FA,28,661.57,17719
*03mwy*,Yonathan Daza,OF,FA,27,662.08,15794
*0406o*,Deivi Garcia,SP,miche,22,663.33,20276
*02zma*,Harold Castro,"2B,SS",Scavenge,28,666.1,14691
*04sxl*,Nick Anderson,RP,FA,31,668.95,18337
*02i2r*,Stephen Piscotty,OF,FA,30,669.92,13367
*041ql*,Tom Hatch,SP,FA,27,670.5,19264
*0321h*,Luis Garcia,RP,SLG,34,673.66,6984
*01sfv*,Wily Peralta,SP,99 prob,32,679.53,7738
*02hhj*,Ryne Stanek,RP,Hit,30,679.6,15947
*04p9m*,Josh VanMeter,"2B,3B",FA,26,680.88,15170
*049dt*,Josh James,RP,W (Tue),28,681.52,16794
*03344*,Johan Camargo,"1B,2B,3B",W (Sat),28,682.13,14950
*025ey*,Luke Jackson,RP,FA,30,682.95,11752
*000y0*,J.A. Happ,SP,Scavenge,39,686.48,7410
*03zu0*,Yonny Chirinos,SP,FA,28,686.73,16401
*04q05*,Alex Vesia,RP,METS,25,688.09,25007
*03mky*,Hoy Park,2B,FA,25,689.47,18027
*03d6q*,Derek Hill,OF,FA,26,689.99,16947
*04eer*,Drew Waters,OF,W (Mon),23,690.83,sa3004378
*02bxm*,Curt Casali,C,FA,33,693.31,12510
*01uut*,Dan Straily,SP,FA,33,711.67,9460
*04eg3*,Kevin Smith,3B,W (Mon),25,712.13,20242
*03da6*,Isan Diaz,"2B,3B",W (Mon),25,715.93,17922
*03d75*,Spencer Turnbull,SP,FA,29,716.1,16207
*02brf*,Jorge Lopez,"SP,RP",FA,28,717.67,14527
*040cf*,Genesis Cabrera,RP,Hit,25,723.83,17490
*01vxp*,Brooks Raley,RP,W (Fri),33,725.7,10061
*02bvh*,Matt Wisler,RP,FA,29,727.58,12804
*0423i*,Wil Crowe,SP,FA,27,729.83,19800
*030x2*,Jose Leclerc,RP,FA,28,732.56,14524
*02vmh*,Hansel Robles,RP,Hit,31,736.27,11801
*03dsj*,J.B. Bukauskas,RP,W (Mon),25,739,20491
*0414s*,Yermin Mercedes,UT,W (Mon),28,740.56,17423
*041e3*,Braxton Garrett,SP,W (Mon),24,742,21844
*041wv*,Michael King,"SP,RP",FA,26,754.35,19853
*041t8*,Andrew Knizner,C,FA,26,757.55,19514
