playerid,Name,Team,GS,G,IP,W,L,SV,HLD,H,ER,HR,K,BB,WHIP,K/9,BB/9,ERA,FIP,-1,WAR,RA9-WAR,-1.1,ADP,playerid,POS,QS,wERA,wWHIP,wK/9,wBB/9,wH/9,wK/BB,RAPP,rIP,rwERA,rwWHIP,rwK/9,rwBB/9,rwH/9,rwK/BB,rSV,rHLD,rQS,rRAPP,POINTS
18679,Freddy Peralta,MIL,25,35,143.0,10,6,0,0,103,57,18,198,61,1.15,12.46,3.84,3.59,3.48,,3.4,3.0,,54.6,18679,SP,12.0,-0.1956453234299016,-0.04683636702067928,0.6975860621047488,-0.005711759713280029,-0.415815543472835,1.6480707006595159,0,7.246376811594202,7.02998955624321,7.203604944214886,9.185979885323293,5.295333200023461,9.480694177206352,6.238040320178873,0.0,,6.842105263157895,0.0,58.52212415794217
14107,Kevin Gausman,TOR,29,29,164.7,11,7,0,0,145,66,22,177,40,1.12,9.67,2.19,3.61,3.58,,3.3,4.0,,70.5,14107,SP,15.0,-0.21569765012051273,-0.05715187188308657,0.2394486152773514,-0.328484227563386,-0.1858826193843941,2.4179328341455832,0,8.411164787976382,7.322073263391161,7.9716958604900725,5.71975241577602,9.353797584936517,6.640249101375284,7.5600566826394475,0.0,,8.421052631578947,0.0,61.39984232816383
11486,Robbie Ray,SEA,28,28,166.7,10,7,0,0,128,64,27,218,51,1.07,11.77,2.75,3.46,3.65,,3.3,3.8,,49.5,11486,SP,15.0,-0.2475159927632899,-0.06743138546826333,0.6539631627638275,-0.2201519683326273,-0.38673050088174266,2.785084124164574,0,8.518518518518517,7.785541648770973,8.737106871760643,8.855932880774976,7.991653475329931,9.12139606304664,8.190533220959017,0.0,,8.421052631578947,0.0,67.62173531073965
12970,Joe Musgrove,SDP,30,31,171.7,12,8,0,0,147,67,22,190,46,1.12,9.96,2.41,3.51,3.65,,3.3,3.5,,72.8,12970,SP,15.0,-0.24202406867465048,-0.05893085944236698,0.30521451343697825,-0.29435802901050684,-0.23601970597079747,2.37344489341551,0,8.78690284487386,7.705545867137513,8.10415900239886,6.2173313941786095,8.924702865855178,7.259610775113179,7.483661464561877,0.0,,8.421052631578947,0.0,62.90296684569802
16358,Tyler Mahle,CIN,32,32,167.7,11,8,0,0,155,76,23,188,61,1.29,10.09,3.27,4.08,3.95,,3.2,3.0,,130.7,16358,SP,13.0,-0.1255971667443344,-0.02545151663537859,0.3252978373380613,-0.11848694930809728,-0.11057670041031153,1.3947117889278982,0,8.572195383789586,6.009662808166608,5.611292251240183,6.3692800494737,6.713341661280864,5.709967683092657,5.802969399924987,0.0,,7.368421052631579,0.0,52.15713028960016
14309,Frankie Montas,OAK,30,30,170.3,12,9,0,0,153,67,22,186,50,1.19,9.83,2.64,3.54,3.65,,3.2,3.7,,94.5,14309,SP,15.0,-0.23468030270019208,-0.04495966699219345,0.2773561272766355,-0.24619788610954602,-0.1584391168201955,2.013471336198573,0,8.711755233494364,7.598576016539022,7.063866146775459,6.006557304361376,8.319148662184245,6.301229528466916,6.865510613916692,0.0,,8.421052631578947,0.0,59.28769613731702
11762,Noah Syndergaard,LAA,24,24,139.7,8,6,0,0,138,61,18,134,35,1.24,8.63,2.26,3.93,3.79,,3.1,2.7,,211.7,11762,SP,11.0,-0.13366698749201533,-0.030371993024971067,0.03299244327613671,-0.27506921423055947,0.0017212770058183668,1.5769130762525356,0,7.069243156199677,6.127208427503923,5.977670171565309,4.157723248320083,8.682169887955851,4.3227099067563515,6.11584760581081,0.0,,6.315789473684211,0.0,48.76836187779622
14168,José Berríos,TOR,31,31,185.3,13,8,0,0,167,79,26,191,48,1.16,9.28,2.33,3.84,3.9,,3.1,3.9,,78.6,14168,SP,16.0,-0.18753717767829126,-0.0548558976134319,0.17809823520564105,-0.32989812776698435,-0.16380495075390378,2.271301194835822,0,9.516908212560386,6.911885692000109,7.800737967100863,5.255580857340095,9.371575630438185,6.367515627489719,7.308259097084567,0.0,,8.947368421052632,0.0,61.47983150506655
13431,Marcus Stroman,CHC,31,31,170.0,13,9,0,0,163,68,19,148,47,1.24,7.84,2.49,3.6,3.78,,3.0,3.7,,185.4,13431,SP,14.0,-0.2225342913393044,-0.03625584745140009,-0.12119593667407491,-0.276624188221796,-0.049678438840804806,1.2012696583695082,0,8.695652173913043,7.421656296444383,6.415781073349231,2.9911475803202356,8.701721761772518,4.9576692991724665,5.4707882850682,0.0,,7.894736842105263,0.0,52.549153312145336
22286,Trevor Rogers,MIA,28,28,141.0,10,7,0,0,119,53,15,166,49,1.19,10.6,3.13,3.38,3.37,,3.0,3.1,,94.1,22286,SP,12.0,-0.22843512525055265,-0.03864210822709446,0.3697105611987165,-0.1275858818469005,-0.22019309219695016,1.5520226204099248,0,7.139023081052066,7.50760828948012,6.593461686186139,6.705302796597488,6.827749478947049,7.06409885641243,6.073105420604177,0.0,,6.842105263157895,0.0,54.75245487243737
12703,Trevor Bauer,LAD,22,22,136.0,10,6,0,0,106,51,18,164,46,1.12,10.85,3.04,3.38,3.67,,2.8,3.1,,199.0,12703,SP,12.0,-0.22304140829913915,-0.04978415357842203,0.4016869765300013,-0.13764336886766526,-0.310414013338133,1.6856693803280502,0,6.870638754696725,7.429043000434972,7.423096681005355,6.947233531503579,6.954209933109622,8.178630723514011,6.302605217667257,0.0,,6.842105263157895,0.0,56.94756310508942
16511,Jordan Montgomery,NYY,27,27,140.3,7,5,0,0,133,60,20,148,39,1.23,9.49,2.5,3.85,3.79,,2.8,2.7,,212.3,16511,SP,11.0,-0.147959478952446,-0.0326010255808562,0.18010920296976307,-0.23389871782695731,-0.059510512400750004,1.7007726930768885,0,7.101449275362318,6.335393939068407,6.143643595173147,5.270795661876691,8.1645018400082,5.079128481406904,6.328540804979378,0.0,,6.315789473684211,0.0,50.73924307155926
2036,Clayton Kershaw,,23,23,130.3,11,6,0,0,111,49,20,146,27,1.06,10.08,1.86,3.38,3.59,,2.8,3.0,,164.3,2036,SP,12.0,-0.21370743217152133,-0.05743073227656059,0.2643476957958567,-0.3219808222275471,-0.19489576826149924,2.440641651079627,0,6.564680622651637,7.2930835982244755,7.992459762789891,5.9081366604112935,9.27202531014506,6.751591809024486,7.599052531705287,0.0,,6.842105263157895,0.0,58.22313555811002
15873,Sean Manaea,OAK,28,28,156.3,11,8,0,0,149,64,22,157,35,1.18,9.04,2.01,3.68,3.82,,2.7,3.2,,143.5,15873,SP,13.0,-0.192118891354774,-0.04471324068089544,0.11181400625192228,-0.346555918940954,-0.055863247187106446,2.205658035507157,0,7.960279119699409,6.978623279930199,7.04551728127989,4.754080233917577,9.581026742118102,5.034072487110242,7.195535887380588,0.0,,7.368421052631579,0.0,55.917556084067584
8700,Justin Verlander,,23,23,146.0,12,6,0,0,112,55,27,180,29,0.97,11.1,1.79,3.39,3.81,,2.7,3.6,,100.1,8700,SP,14.0,-0.23376366372819346,-0.07959654129083726,0.4686293517264797,-0.36779179405948736,-0.348577077558049,3.2509359920401906,0,7.4074074074074066,7.5852241839467975,9.642922515980182,7.45371363128506,9.848041594484794,8.650072942029835,8.990499559120956,0.0,,7.894736842105263,0.0,67.4726186763603
14120,Lance McCullers Jr.,HOU,26,26,145.7,10,6,0,0,119,58,14,163,65,1.26,10.07,4.02,3.58,3.71,,2.7,3.2,,187.5,14120,SP,11.0,-0.19950117464294892,-0.027130897893502537,0.2869123597822947,0.025151446248509346,-0.2693295272900327,0.5345383068741572,0,7.391304347826087,7.086154176633377,5.736338723180556,6.078858915691951,4.9072665751515805,7.671099118151178,4.325869321394741,0.0,,6.315789473684211,0.0,49.51268065171369
12768,Sonny Gray,CIN,27,27,140.3,10,7,0,0,117,59,17,153,56,1.23,9.81,3.59,3.78,3.89,,2.6,3.0,,179.4,12768,SP,11.0,-0.1589106433594636,-0.031384229535632135,0.23486502500485107,-0.047728922907656124,-0.2347291429130336,0.7950932916840743,0,7.101449275362318,6.494909428065803,6.0530411475215375,5.685073376501423,5.823647035200525,7.243667980069766,4.773297423462332,0.0,,6.315789473684211,0.0,49.49087513986792
15488,Antonio Senzatela,COL,28,28,153.0,8,6,0,0,168,74,17,115,41,1.37,6.76,2.41,4.35,4.07,,2.6,2.8,,583.7,15488,SP,11.0,-0.06640731773026809,-0.009330406865619478,-0.3072450659330155,-0.2678641437830834,0.18389048199250657,0.6876958181035437,0,7.7831454643048845,5.14749899085504,4.410916880418294,1.5835162963277434,8.591575042625205,2.0723074325396906,4.588873211405721,0.0,,6.315789473684211,0.0,40.49362279216079
14444,Hyun Jin Ryu,TOR,27,27,151.3,12,8,0,0,148,62,20,128,30,1.18,7.61,1.78,3.69,3.83,,2.6,3.6,,206.8,14444,SP,13.0,-0.18660623386249764,-0.0436797969564926,-0.15012142077372992,-0.37935629607571697,-0.013761876532717432,1.737011394777526,0,7.691894793344068,6.89832549397128,6.968567219428029,2.7722999217180107,9.993450897436615,4.513978936197105,6.390770332213863,0.0,,7.368421052631579,0.0,52.597708646940546
23735,Luis Garcia,HOU,28,30,148.0,11,8,0,0,133,64,21,161,49,1.23,9.79,2.98,3.89,3.91,,2.6,2.7,,148.3,23735,SP,12.0,-0.1469110967522842,-0.03339510911122434,0.24096498789415355,-0.15927703786361863,-0.14127894413740194,1.4209141651379107,0,7.514761137949543,6.320123124650918,6.202770933541457,5.731225157100325,7.226226551255158,6.089243671328408,5.847964430305465,0.0,,6.842105263157895,0.0,51.77442026928917
12730,Nick Martínez,,21,21,126.0,8,6,0,0,114,53,13,124,43,1.25,8.86,3.07,3.79,3.61,,2.5,2.1,,498.1,12730,SP,10.0,-0.14518304996143128,-0.02666346705628997,0.06560446344502668,-0.12469670849727871,-0.11527449500933251,0.8075412097827326,0,6.333870101986044,6.2949522644018785,5.701533894445679,4.404462913304125,6.791421699135527,5.768001249137868,4.7946731356700205,0.0,,5.7894736842105265,0.0,45.87838894229167
2520,Lance Lynn,CHW,26,27,149.3,10,8,0,0,137,66,23,158,50,1.25,9.52,3.01,3.98,4.16,,2.5,2.6,,70.5,2520,SP,12.0,-0.13238642199483686,-0.029541724964443183,0.19485513205442095,-0.1542712065588483,-0.11160431812114235,1.2813969010826787,0,7.584541062801932,6.108555613621894,5.9158485386087944,5.382362059278154,7.163284416807905,5.722662218588772,5.6083837340948905,0.0,,6.842105263157895,0.0,50.32774290696024
19951,Ian Anderson,ATL,28,28,139.7,9,5,0,0,118,58,15,149,61,1.28,9.6,3.93,3.74,3.85,,2.5,2.9,,152.0,19951,SP,11.0,-0.16654448383758613,-0.023065882725955333,0.1973799250039927,0.0098690874310578,-0.2174620319646563,0.4066120331745786,0,7.069243156199677,6.606104525823218,5.433658314770064,5.4014644197975334,5.0994233269067895,7.0303610756253985,4.1061928109348145,0.0,,6.315789473684211,0.0,47.06223710374171
13074,Yu Darvish,SDP,26,26,144.3,9,7,0,0,125,62,21,163,44,1.17,10.16,2.74,3.87,3.88,,2.4,2.3,,102.6,13074,SP,12.0,-0.14826162901946638,-0.04293849364789537,0.3017383532027318,-0.19708354125550198,-0.18936290157555735,1.7849541250147087,0,7.316156736446591,6.3397950797964615,6.913369888310161,6.191031072788307,7.701596549681753,6.683242293635953,6.473098155700373,0.0,,6.842105263157895,0.0,54.4603950395175
9323,Patrick Corbin,WSN,29,29,168.7,12,10,0,0,170,78,25,163,51,1.31,8.7,2.72,4.16,4.12,,2.4,2.6,,423.7,9323,SP,13.0,-0.10981878919291743,-0.02120725351000896,0.050332461706070974,-0.22876839403360955,0.0379031124435284,1.351246150918318,0,8.625872249060654,5.779833767422138,5.295265067271857,4.2889162966520145,8.099994366563955,3.8757425282871285,5.72832969217205,0.0,,7.368421052631579,0.0,49.06237502006138
10131,Stephen Strasburg,WSN,20,20,115.3,9,6,0,0,99,47,14,129,38,1.19,10.07,2.97,3.67,3.66,,2.4,2.5,,283.9,10131,SP,9.0,-0.151649687645508,-0.03309520574794589,0.2365433271928481,-0.13070151336086355,-0.16715533837065044,1.250194142308537,0,5.759527643585614,6.389145797984799,6.18044017492449,5.697771262663146,6.8669246899560745,6.408904184808517,5.554801987624862,0.0,,5.2631578947368425,0.0,48.120673636284344
15440,Matthew Boyd,,27,27,149.7,9,10,0,0,143,73,25,163,43,1.24,9.8,2.59,4.39,4.21,,2.4,2.0,,590.1,15440,SP,12.0,-0.058798139936947935,-0.03141235342769333,0.24482756569413933,-0.23185684407532958,-0.05085433677391238,1.8483822354455595,0,7.606011808910359,5.036663131629714,6.055135248228254,5.760449079672667,8.138827804193848,4.972195594208364,6.582017657234811,0.0,,6.842105263157895,0.0,50.99340558723592
19755,Shohei Ohtani,LAA,21,21,111.7,6,4,0,0,92,45,13,132,42,1.2,10.64,3.39,3.63,3.64,,2.4,2.5,,9.6,19755,SP,9.0,-0.15365252626002057,-0.030597171242445764,0.3100435550145705,-0.06828745861044544,-0.20708708257156794,1.0823918221503872,0,5.566290928609769,6.418319296719975,5.994436907240619,6.253867496354387,6.082145182553296,6.902195550690573,5.2666498584853185,0.0,,5.2631578947368425,0.0,47.74706311539078
13050,Anthony DeSclafani,SFG,29,29,151.3,10,8,0,0,142,68,20,140,41,1.21,8.33,2.44,4.04,3.91,,2.3,2.1,,214.7,13050,SP,12.0,-0.12176710339322994,-0.03767617376489363,-0.020443159835194513,-0.2604845568820595,-0.07860100700198513,1.358882221130353,0,7.691894793344068,5.953873815723855,6.521538353685234,3.753434193498281,8.498785868837667,5.3149603075807015,5.741442442268611,0.0,,6.842105263157895,0.0,50.31803503809632
1943,Zack Greinke,,28,28,161.7,10,7,0,0,156,72,24,131,34,1.18,7.29,1.89,4.01,4.17,,2.2,2.7,,313.7,1943,SP,14.0,-0.1356674143215172,-0.046384833651843316,-0.22057484119895188,-0.37987715071335904,-0.037586352153232805,1.5591864846154113,0,8.250134192163177,6.15634679599623,7.169983838546859,2.2392555637581775,10.0,4.80829135243255,6.085407292960482,0.0,,7.894736842105263,0.0,52.60415587796274
11674,Jameson Taillon,NYY,26,26,131.7,8,6,0,0,125,62,20,128,37,1.23,8.75,2.53,4.24,4.16,,2.2,1.9,,304.9,11674,SP,10.0,-0.07757785399813744,-0.030259081153440892,0.05012530277857086,-0.2174416957018196,-0.054890034679149435,1.2859850635519532,0,6.639828234031132,5.3102098669688615,5.969262770859405,4.287348950498507,7.957575150685941,5.022050038881382,5.616262580961332,0.0,,5.7894736842105265,0.0,46.59201127709709
12808,Mike Clevinger,SDP,19,19,112.3,8,5,0,0,93,43,14,123,37,1.16,9.85,2.96,3.45,3.64,,2.2,2.4,,186.9,12808,SP,9.0,-0.17977147114014436,-0.036683800764911956,0.20137903282453962,-0.12785799397510061,-0.2022962129091075,1.1501266933318495,0,5.59849704777241,6.798769823239251,6.447646411699875,5.431721316449956,6.831170952247913,6.843012194519927,5.3829649805261575,0.0,,5.2631578947368425,0.0,48.59694062119233
13543,Blake Snell,SDP,25,25,122.7,8,6,0,0,97,50,16,156,55,1.24,11.45,4.04,3.67,3.72,,2.2,2.2,,113.8,13543,SP,9.0,-0.16002329929418802,-0.02717623642774014,0.4586882866912655,0.025015131367666255,-0.269601259217329,0.9308210260381093,0,6.156736446591519,6.511116458562002,5.739714623514048,7.378500411016259,4.908980566102296,7.674455921522835,5.006370694442977,0.0,,5.2631578947368425,0.0,48.639033016488774
17479,Jack Flaherty,STL,25,26,130.0,9,6,0,0,105,50,17,149,42,1.13,10.32,2.91,3.46,3.71,,2.2,2.7,,77.9,17479,SP,11.0,-0.20095499583147303,-0.045838035848463354,0.3008428068663658,-0.15431200692873392,-0.25823031570743626,1.5374411410284559,0,6.5485775630703165,7.107330646019006,7.129269357635126,6.184255448283344,7.163797430972883,7.533986518855626,6.048065931723364,0.0,,6.315789473684211,0.0,54.031072370243876
12304,Chris Bassitt,OAK,25,26,139.0,8,6,0,0,123,57,16,131,41,1.18,8.48,2.65,3.69,3.88,,2.2,2.7,,137.5,12304,SP,12.0,-0.17363665563880548,-0.04015769419945281,0.007331157143552036,-0.20618006844103715,-0.15523917935403964,1.1172551160407043,0,7.0316693505099295,6.709409636666051,6.706311986169505,3.9635722233107953,7.815974123006974,6.261699536601924,5.326517519157974,0.0,,6.842105263157895,0.0,50.65725963858105
16502,Ryan Yarbrough,TBR,18,29,146.0,9,7,0,0,145,65,18,115,30,1.2,7.09,1.85,4.01,4.0,,2.2,2.0,,521.9,16502,SP,12.0,-0.12500633195778466,-0.038510438177571604,-0.23829330478117905,-0.3569160608824465,0.010322117284300547,1.3761534316891955,0,7.4074074074074066,6.001056663980446,6.583657554412367,2.105199232820385,9.711292707403956,4.216460597250649,5.771100769344526,0.0,,6.842105263157895,0.0,48.63828019577763
26410,Alek Manoah,TOR,23,23,119.7,9,5,0,0,96,47,14,140,44,1.17,10.53,3.31,3.53,3.86,,2.1,3.0,,97.2,26410,SP,10.0,-0.1766839847328161,-0.036949928003852994,0.3123532884061663,-0.08391180918423907,-0.24863754285043937,1.1729396448638099,0,5.9957058507783145,6.753797262721195,6.467462205258263,6.271342735247697,6.278602057464278,7.415483505277882,5.422139650755366,0.0,,5.7894736842105265,0.0,50.39400695171353
10603,Chris Sale,BOS,18,18,91.7,7,4,0,0,80,36,11,116,25,1.15,11.39,2.45,3.53,3.28,,2.1,2.3,,59.6,10603,SP,7.0,-0.1405467787076916,-0.032246026638433234,0.35061804320929035,-0.167485881411376,-0.12272835833452511,1.7329664266705098,0,4.492753623188405,6.227419986675235,6.1172104281493915,6.56085049134267,7.329442601254094,5.8600815349947,6.383824265131835,0.0,,4.2105263157894735,0.0,47.182109246525805
14374,Tyler Glasnow,TBR,15,15,89.0,5,3,0,0,65,33,12,126,32,1.09,12.74,3.24,3.34,3.2,,2.1,2.2,,599.5,14374,SP,7.0,-0.15957465382129554,-0.037776722657218764,0.498289000242805,-0.07270412373961194,-0.26728638017535944,1.5509953995194086,0,4.3478260869565215,6.504581454672456,6.529025208848079,7.678115913037717,6.1376792813759184,7.6458593784136895,6.071341464739802,0.0,,4.2105263157894735,0.0,49.124955103833656
