IDFANGRAPHS,ID,Player,Position,Status,Age,ADP,exit_velo_batting,brl_batting,xAVG_batting,xSLG_batting,xwOBA_batting,xOBP_batting,xISO_batting,xwoba_percentile_batting,xba_percentile_batting,xslg_percentile_batting,xiso_percentile_batting,xobp_percentile_batting,brl_percentile_batting,brl_percent_percentile_batting,exit_velocity_percentile_batting,hard_hit_percent_percentile_batting,k_percent_percentile_batting,bb_percent_percentile_batting,whiff_percent_percentile_batting,sprint_speed_percentile_batting,exit_velo_pitching,brl_pitching,xAVG_pitching,xSLG_pitching,xwOBA_pitching,xERA_pitching,xwoba_percentile_pitching,xba_percentile_pitching,xslg_percentile_pitching,xiso_percentile_pitching,xobp_percentile_pitching,brl_percent_percentile_pitching,exit_velocity_percentile_pitching,hard_hit_percent_percentile_pitching,k_percent_percentile_pitching,bb_percent_percentile_pitching,whiff_percent_percentile_pitching,xera_percentile_pitching,fb_velocity_percentile_pitching,fb_spin_percentile_pitching,curve_spin_percentile_pitching
12564,*02bqh*,Trevor Story,SS,lasmimis,29,50.33,90.6,6.6,0.245,0.451,0.336,0.326,0.206,60.0,37.0,63.0,71.0,50.0,72.0,64.0,74.0,62.0,35.0,50.0,31.0,89.0,90.6,6.6,,,,,,,,,,,,,,,,,,,
9218,*01ual*,Paul Goldschmidt,1B,CALIXTO,34,52.35,92.6,9.4,0.293,0.574,0.396,0.365,0.281,94.0,93.0,95.0,93.0,86.0,97.0,85.0,93.0,91.0,60.0,65.0,45.0,34.0,92.6,9.4,,,,,,,,,,,,,,,,,,,
2520,*01s94*,Lance Lynn,SP,Pinstrip,34,54.51,,,,,,,,,,,,,,,,,,,,,,,0.193,0.314,0.25,2.62,96.0,91.0,92.0,84.0,97.0,81.0,74.0,69.0,77.0,70.0,51.0,96.0,28.0,86.0,53.0
15689,*03nuc*,Luis Castillo,SP,Scavenge,29,54.55,,,,,,,,,,,,,,,,,,,,17.0,,,0.232,0.346,0.294,3.65,72.0,58.0,79.0,87.0,53.0,93.0,74.0,64.0,53.0,35.0,70.0,72.0,95.0,50.0,
18360,*03pom*,Austin Riley,3B,Pinstrip,24,54.96,90.1,8.6,0.279,0.509,0.364,0.346,0.23,84.0,84.0,85.0,81.0,70.0,92.0,83.0,67.0,75.0,23.0,36.0,25.0,69.0,90.1,8.6,,,,,,,,,,,,,,,,,,,
17484,*030ud*,Eloy Jimenez,OF,99 prob,25,57.56,,,0.248,0.442,0.324,0.304,0.193,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,
5417,*024m0*,Jose Altuve,2B,CALIXTO,31,58.23,87.6,4.9,0.261,0.42,0.331,0.338,0.159,53.0,64.0,44.0,39.0,61.0,59.0,29.0,21.0,23.0,94.0,62.0,92.0,72.0,87.6,4.9,,,,,,,,,,,,,,,,,,,
12856,*025he*,George Springer,OF,sfernand,32,58.45,89.4,9.9,0.248,0.507,0.361,0.339,0.26,81.0,41.0,84.0,89.0,62.0,60.0,90.0,51.0,52.0,38.0,73.0,33.0,82.0,89.4,9.9,,,,,,,,,,,,,,,,,,,
19251,*041pz*,Pete Alonso,1B,SLG,27,58.88,91.0,10.2,0.27,0.541,0.376,0.352,0.271,90.0,76.0,92.0,91.0,76.0,97.0,89.0,80.0,81.0,61.0,59.0,45.0,30.0,91.0,10.2,,,,,,,,,,,,,,,,,,,
15172,*03110*,Tim Anderson,SS,METS,28,59.08,89.6,5.8,0.28,0.442,0.325,0.31,0.162,46.0,86.0,58.0,41.0,30.0,55.0,43.0,55.0,59.0,48.0,1.0,39.0,74.0,89.6,5.8,,,,,,,,,,,,,,,,,,,
