"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Alejandro Kirk","TOR","89","331","293","77","16","0","11","41","40","31","48","4","1","0","",".262",".340",".431",".770",".332","107","","1.4","","237.5","22581"
"Tony Kemp","OAK","126","434","375","91","16","3","7","48","34","48","63","6","8","3","",".243",".334",".355",".690",".306","97","","1.4","","428.7","14894"
"Jarred Kelenic","SEA","131","542","486","110","22","2","21","65","62","49","139","4","11","3","",".227",".301",".407",".708",".305","97","","1.4","","140.5","22558"
"Yan Gomes","CHC","85","325","294","74","14","1","12","36","41","21","72","5","1","0","",".250",".309",".429",".738",".315","95","","1.4","","375.6","9627"
"Austin Hedges","CLE","95","347","316","63","11","0","13","33","39","22","98","4","2","1","",".201",".260",".360",".619",".267","67","","1.3","","583.8","12976"
"Miguel Sanó","MIN","138","561","490","110","22","1","32","77","83","64","196","5","1","1","",".225",".319",".473",".791",".337","114","","1.3","","273.1","12164"
"Ha-Seong Kim","SDP","107","367","331","77","17","2","11","43","40","30","77","3","7","2","",".233",".301",".395",".696",".300","90","","1.3","","385.0","27506"
"Cal Raleigh","SEA","70","262","240","51","11","1","9","26","30","18","67","2","1","0","",".213",".272",".379",".651",".280","80","","1.3","","534.3","21534"
"Odúbel Herrera","","90","370","336","90","18","2","10","45","41","27","65","4","4","2","",".267",".328",".421",".749",".324","103","","1.3","","588.1","11476"
"David Fletcher","LAA","146","618","571","154","28","2","4","67","53","38","61","3","11","3","",".270",".317",".348",".666",".293","83","","1.3","","366.2","17992"
"Yadier Molina","STL","108","419","381","97","19","1","11","46","47","23","70","4","3","1","",".254",".301",".391",".692",".299","89","","1.3","","301.5","7007"
"Jesús Aguilar","MIA","127","509","450","114","20","1","23","60","68","49","100","5","0","0","",".254",".331",".452",".783",".335","113","","1.3","","297.1","11342"
"Aledmys Díaz","HOU","88","346","315","79","17","1","11","40","41","23","63","5","1","0","",".250",".308",".412",".720",".309","98","","1.3","","550.3","15937"
"Didi Gregorius","PHI","114","468","425","104","19","2","17","53","57","30","75","5","4","1","",".245",".301",".422",".722",".308","90","","1.3","","471.8","6012"
"Gavin Lux","LAD","118","455","407","103","21","3","11","59","50","43","101","3","5","2","",".254",".327",".404",".731",".316","99","","1.2","","243.4","19955"
"Andrew Vaughn","CHW","131","536","475","119","25","1","18","64","63","49","110","7","1","1","",".250",".327",".420",".747",".323","105","","1.2","","247.5","26197"
"Mike Moustakas","CIN","119","461","411","100","20","1","22","58","63","40","89","5","1","0","",".244",".317",".460",".777",".330","101","","1.2","","362.8","4892"
"Ben Gamel","PIT","139","532","464","117","25","3","11","61","51","59","131","5","7","3","",".252",".341",".389",".730",".320","100","","1.2","","577.9","12160"
"Nick Madrigal","CHC","123","484","446","128","21","4","3","54","42","27","40","6","10","3","",".288",".334",".374",".708",".309","91","","1.2","","315.7","20521"
"Curt Casali","SFG","78","262","230","51","9","0","8","28","29","26","72","3","1","0","",".220",".308",".371",".679",".296","87","","1.2","","590.7","12510"
"Joey Wendle","MIA","121","470","428","108","22","4","10","54","45","29","100","9","11","3","",".251",".310",".387",".697",".301","91","","1.2","","368.5","13853"
"Kevin Plawecki","BOS","64","225","203","50","10","1","5","25","23","16","41","4","0","0","",".244",".311",".370",".681",".298","83","","1.2","","578.7","13807"
"Garrett Cooper","MIA","108","434","384","102","17","1","16","53","51","41","108","5","1","0","",".264",".342",".435",".778",".336","114","","1.2","","500.9","15279"
"Austin Nola","SDP","95","357","321","80","16","1","7","38","37","29","60","5","1","0","",".249",".318",".373",".691",".302","91","","1.2","","376.4","15941"
"Jeremy Peña","HOU","85","339","308","74","14","2","9","41","35","24","85","4","6","2","",".241",".305",".383",".687",".299","91","","1.2","","470.1","sa876320"
"Vidal Bruján","TBR","69","268","242","62","14","2","5","34","26","22","47","2","11","3","",".255",".320",".390",".710",".309","100","","1.2","","355.7","20536"
"Bryan De La Cruz","MIA","110","433","397","99","19","2","9","47","43","30","103","2","5","1","",".250",".305",".381",".685",".297","88","","1.2","","493.3","19600"
"Andrés Giménez","CLE","117","420","383","93","19","3","10","50","41","23","103","10","15","4","",".243",".300",".387",".688",".298","87","","1.1","","277.7","19950"
"Tyler Naquin","CIN","120","470","427","111","22","2","19","62","59","35","113","4","5","2","",".261",".321",".453",".774",".330","101","","1.1","","354.5","13359"
"Joc Pederson","","113","446","391","91","19","2","19","56","58","43","105","8","3","1","",".232",".319",".437",".756",".326","104","","1.1","","467.6","11899"
"Josh Harrison","","108","433","392","102","20","2","8","49","43","25","65","12","7","2","",".259",".321",".380",".701",".307","92","","1.1","","437.5","8202"
"Adam Duvall","ATL","131","529","480","111","20","2","34","71","82","38","154","7","2","1","",".231",".295",".493",".788",".331","104","","1.1","","212.5","10950"
"Michael A. Taylor","KCR","129","472","432","101","21","2","12","53","50","33","131","3","12","3","",".234",".291",".380",".671",".291","81","","1.1","","469.0","11489"
"Martín Maldonado","HOU","112","416","362","73","13","1","13","45","44","40","117","8","1","0","",".203",".294",".346",".640",".283","80","","1.1","","552.4","6887"
"Garrett Hampson","COL","117","440","400","103","20","5","12","60","45","32","104","3","18","4","",".258",".316",".419",".735",".316","83","","1.1","","280.1","19262"
"Yuli Gurriel","HOU","132","554","505","135","29","2","13","65","62","38","67","5","3","1","",".268",".322",".412",".733",".316","102","","1.1","","208.8","19198"
"Alex Kirilloff","MIN","119","498","454","123","26","3","17","63","61","34","105","4","4","1","",".271",".325",".449",".774",".330","109","","1.1","","175.8","20325"
"Jake Meyers","HOU","95","373","338","80","17","1","11","45","40","27","95","5","6","2","",".236",".300",".390",".690",".299","91","","1.1","","592.5","20308"
"Eddie Rosario","","115","494","455","118","23","1","20","59","64","32","78","1","8","2","",".259",".306",".444",".750",".318","100","","1.1","","184.6","12155"
"Jason Castro","HOU","50","172","147","32","7","0","7","21","20","21","54","2","0","0","",".219",".322",".405",".727",".317","103","","1.1","","597.1","8722"
"Taylor Walls","TBR","87","338","297","67","16","2","7","38","32","35","87","2","7","3","",".225",".310",".357",".667",".293","89","","1.1","","569.8","22458"
"Francisco Mejía","TBR","78","276","252","60","13","1","7","29","31","17","58","5","1","0","",".238",".297",".386",".683",".295","91","","1.1","","439.3","16403"
"José Iglesias","","102","403","376","101","21","1","7","44","41","17","60","5","4","2","",".269",".307",".384",".691",".299","87","","1.0","","587.1","10231"
"Jesús Sánchez","MIA","133","540","492","124","23","3","21","64","67","40","139","4","3","1","",".252",".311",".440",".751",".320","103","","1.0","","222.4","19913"
"Austin Slater","SFG","93","310","272","71","13","1","10","43","33","31","80","5","10","3","",".260",".344",".424",".768",".334","111","","1.0","","553.2","16153"
"Nick Senzel","CIN","80","307","277","75","18","1","8","41","34","25","57","2","9","2","",".271",".333",".438",".770",".331","101","","1.0","","485.4","19293"
"Kole Calhoun","TEX","108","445","387","90","17","1","18","53","54","48","100","6","1","0","",".232",".323",".423",".746",".323","105","","1.0","","493.3","11200"
"Edmundo Sosa","STL","109","390","359","89","16","2","8","43","37","19","84","8","5","2","",".249",".300",".369",".668",".290","84","","1.0","","447.8","17022"
"Joey Bart","SFG","99","370","342","78","15","2","9","39","38","21","111","6","1","0","",".228",".281",".364",".646",".280","76","","1.0","","274.1","21524"
"Adolis García","TEX","137","573","532","120","25","2","26","70","72","31","180","6","11","3","",".226",".274",".426",".700",".298","88","","1.0","","169.1","19287"
"Brad Miller","","88","315","274","64","12","2","14","41","41","36","90","2","2","1","",".232",".324",".447",".771",".330","107","","1.0","","558.2","12775"
"LaMonte Wade Jr.","SFG","118","458","396","93","19","2","15","57","49","51","94","7","6","2","",".235",".329",".405",".734",".320","102","","1.0","","322.6","18126"
"Carter Kieboom","WSN","123","497","438","106","20","1","13","56","53","48","116","7","2","1","",".241",".325",".381",".706",".309","90","","1.0","","499.8","19958"
"Lourdes Gurriel Jr.","TOR","135","548","506","131","25","2","20","67","68","33","112","5","4","2","",".260",".309",".434",".743",".318","97","","1.0","","142.8","19238"
"Patrick Wisdom","CHC","129","512","458","96","19","1","28","62","72","45","189","5","5","1","",".210",".287",".439",".726",".309","91","","1.0","","332.1","13602"
"Ji-Man Choi","TBR","106","421","357","81","18","1","14","50","49","56","112","5","1","0","",".228",".338",".405",".743",".325","111","","1.0","","559.3","5452"
"Leury García","CHW","122","490","444","113","18","3","6","55","41","34","102","6","7","3","",".256",".315",".353",".668",".294","86","","1.0","","500.1","5913"
"Cavan Biggio","TOR","120","488","418","91","20","2","14","59","50","62","133","4","5","2","",".219",".324",".376",".700",".308","91","","0.9","","315.4","19252"
"Nick Ahmed","ARI","131","517","469","112","25","3","10","56","52","38","109","3","7","2","",".239",".297",".366",".663",".288","76","","0.9","","571.7","12147"
"J.D. Davis","NYM","88","322","283","70","14","0","11","39","39","33","87","4","1","0","",".248",".332",".414",".746",".324","108","","0.9","","467.8","16219"
"David Peralta","ARI","128","516","466","125","25","4","10","61","56","42","92","4","2","1","",".269",".333",".408",".741",".320","97","","0.9","","486.4","2136"
"Julio Rodríguez","SEA","66","284","257","68","13","1","8","34","31","22","63","3","4","1","",".265",".329",".419",".748",".322","108","","0.9","","269.8","sa3005720"
"Adam Engel","CHW","87","328","297","71","15","2","11","42","36","22","82","7","7","2","",".239",".305",".412",".717",".310","97","","0.9","","596.4","15082"
"Nico Hoerner","CHC","117","441","400","104","20","2","4","47","37","32","74","6","10","3","",".261",".322",".355",".677",".296","82","","0.9","","460.6","21479"
"Victor Robles","WSN","116","435","384","91","20","2","9","53","40","33","103","14","13","4","",".238",".318",".374",".693",".303","87","","0.9","","463.4","18363"
"Steven Duggar","SFG","88","319","287","67","16","2","6","37","30","28","93","2","6","2","",".234",".305",".370",".675",".293","85","","0.9","","598.7","17719"
"Roberto Pérez","PIT","103","391","344","71","12","1","12","39","41","38","121","3","1","0","",".205",".289",".349",".638",".281","75","","0.9","","522.4","2900"
"Seiya Suzuki","","74","287","251","63","14","1","10","37","33","30","65","4","5","2","",".250",".337",".432",".769",".332","109","","0.9","","999.0","sa3018052"
"Jose Miranda","MIN","95","393","362","94","20","1","11","43","46","23","57","5","1","0","",".259",".310",".409",".719",".308","94","","0.9","","419.5","sa917952"
"Rougned Odor","BAL","92","365","327","70","14","1","18","43","47","28","100","6","4","1","",".215",".287",".424",".711",".304","90","","0.9","","463.1","12282"
"Nick Solak","TEX","109","450","405","102","18","2","11","52","44","34","93","7","6","2","",".252",".319",".382",".701",".307","94","","0.9","","451.9","19294"
"Jarren Duran","BOS","95","392","357","91","20","4","9","52","39","28","105","5","10","3","",".256",".317",".410",".726",".314","94","","0.9","","441.6","24617"
"Jake Fraley","SEA","85","332","290","65","14","2","10","40","34","35","88","4","9","3","",".224",".315",".390",".705",".307","98","","0.9","","593.4","19260"
"Jordan Luplow","ARI","85","331","288","69","15","2","14","44","43","37","81","4","4","1","",".241",".333",".449",".781",".336","108","","0.9","","600.6","16424"
"Jed Lowrie","","103","415","366","90","21","1","12","46","49","41","88","2","0","0","",".245",".321",".407",".729",".316","98","","0.9","","590.0","4418"
"Victor Caratini","SDP","70","239","212","50","9","0","5","24","25","21","52","3","1","0","",".238",".315",".360",".675",".294","86","","0.9","","565.1","14968"
"Chas McCormick","HOU","91","337","301","71","13","1","11","41","38","30","84","4","5","2","",".234",".308",".396",".705",".306","95","","0.9","","458.9","19599"
"Charlie Blackmon","COL","127","550","490","138","27","5","16","71","67","47","92","8","2","1","",".281",".351",".458",".809",".347","103","","0.9","","238.7","7859"
"Alek Thomas","ARI","63","258","236","63","13","2","5","32","27","19","55","2","5","1","",".269",".328",".412",".740",".320","97","","0.9","","554.2","sa3006892"
"Donovan Solano","","88","337","309","82","17","1","7","36","36","20","63","5","1","0","",".266",".319",".387",".706",".307","92","","0.9","","597.3","8623"
"Riley Greene","DET","87","366","329","78","14","3","9","41","36","31","105","4","4","1","",".237",".308",".382",".690",".300","88","","0.9","","299.1","sa3010694"
"Luis García","WSN","108","421","393","104","19","2","11","48","48","22","76","2","4","1","",".264",".305",".408",".713",".306","88","","0.8","","520.8","20391"
"Anthony Santander","BAL","129","544","499","123","29","1","23","62","70","34","114","5","2","1","",".247",".300",".448",".748",".317","99","","0.8","","287.6","14551"
"Santiago Espinal","TOR","120","432","395","100","20","2","6","47","39","30","72","3","6","2","",".254",".309",".356",".665",".291","79","","0.8","","512.4","19997"
"Bryson Stott","PHI","78","316","283","67","14","1","8","36","32","29","81","2","4","1","",".236",".310",".378",".689",".300","85","","0.8","","478.5","sa3011443"
"Justin Upton","LAA","87","345","302","69","12","0","17","44","46","37","101","4","3","1","",".228",".317",".440",".758",".326","106","","0.8","","546.4","5222"
"Hunter Dozier","KCR","123","496","444","104","23","4","17","58","58","44","135","4","5","2","",".235",".308",".416",".724",".312","95","","0.8","","403.3","15117"
"Austin Allen","OAK","50","167","154","35","8","0","5","16","18","10","43","2","0","0","",".226",".280",".378",".658",".283","81","","0.8","","599.9","18083"
"Kyle Isbel","KCR","95","363","331","80","17","3","8","41","36","26","86","4","8","2","",".242",".303",".378",".681",".295","84","","0.7","","507.0","21614"
"Wilson Ramos","","47","174","158","41","6","0","6","20","21","12","33","1","0","0","",".257",".311",".407",".719",".310","94","","0.7","","599.9","1433"
"Thairo Estrada","SFG","66","229","211","55","10","1","6","27","24","14","45","3","3","1","",".259",".312",".398",".710",".307","94","","0.7","","600.4","16426"
"Jacob Nottingham","BAL","49","174","156","32","6","0","6","18","19","13","59","4","1","0","",".207",".281",".373",".654",".284","77","","0.7","","600.5","16448"
"Rafael Ortega","CHC","124","482","432","104","21","3","11","55","45","43","98","2","10","3","",".240",".312",".378",".689",".301","85","","0.7","","326.9","10323"
"Bradley Zimmer","CLE","95","360","316","69","14","2","10","43","33","33","125","8","11","3","",".217",".306",".365",".670",".296","86","","0.7","","478.0","16221"
"Bobby Dalbec","BOS","124","487","436","101","21","2","25","64","70","40","166","8","2","1","",".232",".306",".464",".770",".327","103","","0.7","","231.2","19966"
"Jo Adell","LAA","128","511","469","112","23","2","19","62","61","32","155","5","7","2","",".238",".293",".421",".714",".306","92","","0.7","","231.8","20220"
"Lane Thomas","WSN","119","454","404","94","21","2","15","57","50","44","125","4","9","3","",".232",".311",".405",".716",".311","91","","0.7","","251.5","16939"
"Elvis Andrus","OAK","102","404","368","90","18","2","5","41","32","24","66","3","9","3","",".244",".294",".338",".632",".276","77","","0.7","","551.1","8709"
"Jose Barrero","CIN","76","293","269","66","14","1","8","35","32","17","75","5","5","1","",".244",".299",".396",".695",".300","81","","0.7","","423.9","23378"
"Andrelton Simmons","","109","417","381","93","17","1","4","39","35","27","56","3","3","1","",".244",".297",".326",".624",".275","72","","0.7","","593.7","10847"
"Randal Grichuk","TOR","128","514","474","114","25","2","22","62","67","31","114","5","2","1","",".240",".292",".439",".731",".311","93","","0.6","","405.1","10243"
"Kevin Newman","PIT","115","452","419","110","20","2","4","44","41","25","45","3","7","2","",".262",".305",".353",".658",".286","78","","0.6","","592.1","17696"
"Mike Brosseau","MIL","75","282","252","60","13","1","10","34","34","22","72","6","2","1","",".240",".313",".421",".734",".316","95","","0.6","","597.5","19683"
"Dylan Moore","SEA","87","319","282","57","11","1","10","39","30","28","90","5","16","4","",".203",".286",".362",".648",".284","83","","0.6","","466.5","18042"
"Jackie Bradley Jr.","BOS","78","299","265","57","13","2","7","35","29","26","82","6","4","2","",".217",".300",".360",".660",".290","78","","0.6","","584.4","12984"
"Stephen Vogt","","41","144","128","27","6","1","5","15","16","13","35","1","1","0","",".215",".290",".379",".669",".289","80","","0.6","","999.0","5000"
"Darin Ruf","SFG","96","328","284","70","14","1","13","42","41","37","87","4","1","0","",".245",".337",".439",".777",".335","112","","0.6","","401.2","9929"
"Josh VanMeter","ARI","85","312","275","64","16","1","10","38","36","32","76","2","5","1","",".232",".316",".406",".723",".313","93","","0.6","","591.3","15170"
"Robinson Canó","NYM","80","324","297","77","16","0","11","37","41","22","54","2","0","0","",".258",".313",".424",".737",".315","102","","0.6","","476.4","3269"
"Christian Arroyo","BOS","59","228","208","52","11","1","7","27","26","14","54","4","1","1","",".250",".308",".411",".719",".310","92","","0.6","","594.4","16434"
"Spencer Torkelson","DET","100","410","363","87","19","2","14","47","49","39","93","5","2","1","",".238",".319",".417",".736",".317","100","","0.6","","266.0","sa3014504"
"Steven Kwan","CLE","72","296","268","71","15","2","5","33","30","23","36","2","3","1","",".267",".327",".395",".722",".313","97","","0.6","","521.1","sa3008536"
"Dominic Smith","NYM","107","402","362","92","20","1","13","47","50","31","89","6","2","1","",".254",".321",".419",".740",".319","104","","0.6","","454.8","15653"
"Christian Walker","ARI","124","507","453","113","26","2","17","60","63","44","119","6","3","1","",".249",".321",".425",".746",".321","98","","0.6","","469.4","13419"
"Zack Collins","CHW","40","147","125","25","5","0","5","16","16","20","47","1","0","0","",".197",".310",".360",".671",".297","87","","0.6","","593.0","19181"
"Corey Dickerson","","92","356","327","86","19","2","9","42","39","24","66","2","4","2","",".263",".316",".414",".730",".313","96","","0.6","","593.3","10762"
"Victor Reyes","DET","79","298","278","71","13","3","5","33","27","16","66","2","7","2","",".255",".298",".375",".673",".291","83","","0.6","","590.1","15487"
"Alec Bohm","PHI","121","487","442","114","21","1","13","56","52","38","115","4","4","1","",".258",".320",".398",".718",".311","92","","0.6","","291.6","21618"
"Matt Duffy","","56","217","195","52","9","1","3","25","20","18","39","3","3","1","",".266",".335",".364",".698",".308","93","","0.6","","589.3","13836"
"Niko Goodrum","","87","350","315","69","15","2","10","42","35","30","112","3","11","3","",".220",".292",".373",".664",".289","80","","0.6","","575.0","12092"
"Tim Locastro","","55","194","171","41","9","1","4","24","16","12","39","9","8","2","",".242",".323",".368",".691",".306","92","","0.5","","598.1","15124"
"Connor Joe","COL","111","431","377","97","22","2","14","55","51","46","92","5","1","0","",".256",".343",".433",".775",".336","97","","0.5","","324.0","16572"
"Asdrúbal Cabrera","CIN","62","238","210","50","11","0","7","27","28","22","54","2","1","0","",".240",".316",".403",".720",".312","95","","0.5","","599.9","4962"
"Leody Taveras","TEX","65","258","233","53","10","2","6","30","23","21","70","1","8","2","",".226",".292",".369",".661",".286","81","","0.5","","549.9","18900"
"Alex Dickerson","","81","280","250","62","13","1","12","34","37","24","62","5","1","0","",".249",".323",".453",".776",".331","108","","0.5","","600.7","12649"
"Isaac Paredes","DET","32","123","108","28","6","0","3","14","13","12","18","2","0","0","",".254",".334",".402",".736",".321","103","","0.5","","600.1","20036"
"Chad Pinder","OAK","113","419","379","87","18","1","13","44","45","31","109","5","1","0","",".230",".295",".385",".681",".295","90","","0.5","","566.2","15191"
"Nick Gordon","MIN","77","286","262","62","14","2","5","33","26","18","69","3","8","2","",".237",".292",".361",".653",".284","78","","0.5","","565.8","16337"
"Hoy Park","PIT","45","175","151","36","7","1","3","20","15","20","39","2","4","1","",".237",".332",".360",".692",".306","91","","0.5","","599.6","18027"
"Carlos Santana","KCR","124","525","448","102","19","2","16","58","58","70","83","3","2","1","",".227",".332",".384",".716",".314","96","","0.5","","463.8","2396"
"Luis Torrens","SEA","80","306","277","64","13","1","11","33","36","24","75","2","0","0","",".233",".297",".397",".694",".299","93","","0.5","","397.5","15905"
"Brett Phillips","TBR","67","211","184","35","7","2","8","26","22","23","79","2","7","2","",".193",".287",".369",".656",".286","85","","0.5","","594.4","14735"
"Matt Thaiss","LAA","52","193","171","38","8","0","6","21","21","19","46","2","1","0","",".223",".305",".375",".680",".297","86","","0.5","","579.3","19318"
"Robinson Chirinos","","33","114","97","21","4","0","4","13","13","11","36","3","0","0","",".212",".311",".390",".701",".307","92","","0.5","","598.0","3142"
"David Bote","CHC","60","226","201","47","9","1","7","26","25","21","54","3","1","0","",".236",".315",".398",".713",".310","91","","0.5","","592.3","14593"
"Eric Hosmer","SDP","133","541","489","127","21","1","14","63","59","44","102","3","6","2","",".260",".324",".394",".718",".312","97","","0.5","","408.8","3516"
"Kevin Pillar","","86","317","296","72","16","1","11","37","38","14","65","5","5","2","",".243",".288",".412",".700",".300","87","","0.5","","594.1","12434"
"Danny Santana","","43","166","152","35","7","1","6","21","19","12","44","2","5","2","",".233",".294",".407",".702",".301","88","","0.5","","999.0","10322"
"Oscar Mercado","CLE","85","328","295","69","15","1","7","37","31","26","64","4","10","3","",".235",".302",".371",".674",".294","85","","0.5","","589.1","16375"
"Pedro Severino","MIL","80","299","270","63","11","1","9","33","33","24","71","3","1","0","",".233",".300",".382",".682",".296","82","","0.5","","484.5","14523"
"Starlin Castro","","53","215","198","52","10","1","5","23","24","14","40","1","1","0","",".263",".313",".390",".703",".304","90","","0.5","","597.3","4579"
"Jose Siri","HOU","65","235","217","47","10","1","7","28","24","14","84","2","7","2","",".217",".268",".371",".639",".275","75","","0.5","","552.1","17452"
"Luis Rengifo","LAA","47","182","164","39","7","1","4","21","18","14","37","2","4","1","",".237",".304",".372",".676",".295","85","","0.4","","600.3","19858"
"Pavin Smith","ARI","122","499","450","117","25","3","11","57","56","43","85","3","1","0","",".259",".326",".404",".730",".316","95","","0.4","","421.5","19892"
"Derek Hill","DET","54","192","175","40","8","2","4","22","16","13","59","2","6","1","",".229",".288",".362",".650",".283","77","","0.4","","999.0","16947"
"Jon Berti","MIA","52","195","172","41","7","1","3","23","14","19","46","3","7","2","",".236",".320",".339",".659",".294","86","","0.4","","557.9","12037"
"Brett Gardner","","88","334","291","65","12","3","6","39","28","36","72","3","4","1","",".224",".313",".356",".669",".295","84","","0.4","","598.6","9927"
"Brennen Davis","CHC","43","161","144","34","7","1","6","19","18","13","47","3","2","1","",".237",".310",".408",".718",".311","92","","0.4","","999.0","sa3007876"
"Eric Haase","DET","88","335","303","64","13","2","15","38","44","26","113","3","1","0","",".212",".279",".421",".700",".299","88","","0.4","","306.1","14111"
"Nolan Gorman","STL","59","245","224","53","11","1","8","27","28","16","66","2","1","0","",".235",".292",".399",".690",".296","88","","0.4","","474.4","sa3007017"
"Johan Camargo","PHI","62","200","182","44","9","1","6","21","23","15","43","1","0","0","",".243",".305",".396",".701",".302","86","","0.4","","600.9","14950"
"Edward Olivares","KCR","42","159","146","37","7","1","5","19","18","10","31","2","4","1","",".255",".309",".415",".724",".311","94","","0.4","","580.3","19698"
"TJ Friedl","CIN","60","213","190","46","9","1","4","25","20","17","41","4","4","1","",".240",".315",".369",".684",".299","81","","0.4","","599.3","19522"
"Tyler Wade","LAA","97","290","261","57","11","1","4","33","21","24","76","3","14","3","",".217",".288",".317",".606",".268","67","","0.4","","468.3","15730"
"Dom Nuñez","COL","67","247","216","44","9","1","10","28","30","26","74","3","1","0","",".204",".297",".390",".687",".297","71","","0.4","","579.3","15055"
"Cam Gallagher","KCR","32","111","101","24","5","0","2","10","11","8","20","1","0","0","",".233",".295",".342",".636",".279","73","","0.4","","600.5","12981"
"Colin Moran","","104","405","362","90","16","1","13","46","48","37","97","3","1","0","",".248",".320",".406",".726",".314","97","","0.4","","576.9","16909"
"Kevin Smith","TOR","74","247","225","50","12","1","9","29","28","18","74","2","4","1","",".223",".285",".397",".682",".293","80","","0.4","","596.0","20242"
"Nolan Jones","CLE","45","179","156","36","8","1","5","21","19","21","57","1","1","0","",".234",".328",".395",".722",".315","99","","0.4","","594.9","sa917941"
"Raimel Tapia","COL","126","519","477","134","27","5","6","66","48","36","79","2","18","5","",".280",".332",".395",".727",".315","83","","0.4","","262.3","14350"
"Adalberto Mondesi","KCR","120","494","459","106","20","5","17","69","48","26","148","3","40","6","",".230",".273",".403",".677",".288","79","","0.4","","61.2","13769"
"Josh Naylor","CLE","83","320","291","74","16","1","9","35","37","24","56","3","1","0","",".255",".316",".410",".726",".313","97","","0.4","","586.8","18839"
"Rowdy Tellez","MIL","114","433","388","97","21","1","18","51","59","36","89","6","1","0","",".249",".319",".445",".764",".326","101","","0.4","","319.6","15679"
"Jorge Mateo","BAL","105","360","335","75","16","4","7","41","30","19","105","3","13","3","",".225",".272",".359",".631",".273","69","","0.4","","452.7","17273"
"Cristian Pache","ATL","59","217","202","48","10","1","5","25","21","13","61","1","3","1","",".240",".287",".380",".667",".288","76","","0.4","","586.2","19948"
"Nick Fortes","MIA","26","96","87","21","4","0","2","10","10","7","18","1","1","0","",".238",".300",".371",".670",".291","85","","0.4","","594.6","21538"
"Oswald Peraza","NYY","28","112","103","26","5","0","3","13","11","7","24","1","3","1","",".251",".304",".382",".686",".298","88","","0.4","","600.3","sa3003305"
"Josh Lowe","TBR","57","219","196","43","10","1","6","25","23","20","68","1","4","1","",".222",".296",".378",".675",".293","90","","0.4","","407.7","19953"
"Mickey Moniak","PHI","73","231","212","48","11","2","6","24","24","15","66","2","3","1","",".225",".280",".373",".653",".280","72","","0.4","","600.4","19956"
"Miguel Andújar","NYY","38","151","140","36","7","0","5","17","18","8","26","1","1","0","",".254",".300",".421",".721",".308","95","","0.3","","589.7","15878"
"Trevor Larnach","MIN","94","386","340","80","16","1","11","45","41","37","118","6","1","0","",".235",".319",".387",".706",".308","95","","0.3","","539.1","21501"
"Gavin Sheets","CHW","110","419","376","89","17","1","16","49","51","36","96","4","1","0","",".237",".308",".413",".721",".312","98","","0.3","","492.7","19901"
"Andrew Knapp","CIN","51","169","149","31","6","1","4","18","16","16","55","2","1","0","",".211",".294",".340",".633",".280","68","","0.3","","600.9","14942"
"José Peraza","NYY","39","137","127","31","5","1","3","15","13","7","21","2","2","1","",".248",".298",".374",".672",".291","84","","0.3","","600.8","13593"
"Kurt Suzuki","","35","130","115","27","6","0","4","14","14","8","23","4","0","0","",".238",".304",".384",".688",".300","87","","0.3","","600.6","8259"
"Tomás Nido","NYM","52","175","163","37","7","0","4","17","19","9","43","1","0","0","",".224",".269",".350",".619",".268","71","","0.3","","600.8","13755"
"Sandy León","CLE","55","190","171","35","6","0","5","17","19","14","53","2","0","0","",".201",".270",".333",".603",".265","65","","0.3","","999.0","5273"
"Daz Cameron","DET","49","188","170","39","9","2","5","22","18","15","52","3","5","1","",".229",".299",".380",".679",".295","86","","0.3","","597.7","18353"
"Willi Castro","DET","43","169","155","38","7","2","4","19","16","9","40","2","3","1","",".245",".296",".379",".675",".292","83","","0.3","","534.6","17338"
"Estevan Florial","NYY","51","184","165","35","7","1","6","22","18","17","64","1","3","1","",".213",".290",".368",".659",".287","81","","0.3","","600.4","19151"
"Daniel Vogelbach","","48","175","147","34","6","0","7","22","21","26","40","1","0","0","",".231",".350",".414",".764",".334","110","","0.3","","599.3","14130"
"Geraldo Perdomo","ARI","25","96","85","21","4","1","1","11","9","9","20","1","2","1","",".244",".325",".360",".685",".301","85","","0.3","","593.6","22799"
"Greg Allen","PIT","56","199","176","41","9","1","3","22","15","14","43","7","8","2","",".235",".316",".339",".655",".291","81","","0.3","","600.9","16623"
"Riley Adams","WSN","79","281","247","52","11","1","8","30","30","26","99","7","0","0","",".210",".299",".362",".661",".292","79","","0.3","","587.6","19864"
"Zach McKinstry","LAD","48","179","162","37","8","1","5","22","20","14","43","2","2","1","",".232",".301",".389",".689",".299","88","","0.3","","591.0","19392"
"DJ Stewart","BAL","81","316","270","58","12","1","12","37","35","38","83","5","2","0","",".216",".321",".400",".721",".314","97","","0.3","","600.3","17766"
"Yonny Hernandez","TEX","25","100","86","21","3","0","0","12","6","12","18","1","5","1","",".241",".339",".305",".643",".293","85","","0.3","","599.4","19432"
"Travis Shaw","","54","200","175","38","8","0","8","23","24","22","53","2","1","0","",".216",".306",".396",".702",".305","91","","0.3","","600.6","11982"
"Tyler Freeman","CLE","18","56","52","15","4","0","1","6","6","3","7","1","1","0","",".291",".337",".415",".752",".325","106","","0.3","","999.0","sa3004755"
